orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Northwestern Mutual/Insurance Policies,Unknown,Insurance policies & Annuities,280003,600000,0,Y,,
"",Vanguard Index Value Vipers,Unknown,Mutual Fund,267004,580000,0,Y,,
"",Vanguard Index Growth,Unknown,Mutual Fund,266003,565000,0,Y,,
"",Prudential Jennison Mid Cap Growth Fund,Unknown,Mutual Fund,116003,315000,0,Y,,
"",JPMorgan Mid Cap Value Fund,Unknown,Mutual Fund,104005,310000,0,Y,,
"",American Beacon Small Cap Value Fund,Unknown,Mutual Fund,102003,280000,0,Y,,
"",William Blair International Growth Fund,Unknown,Mutual Fund,101002,265000,0,Y,,
"",Oakmark International Small Cap Fund,Unknown,Mutual Fund,101002,265000,0,Y,,
"",Blackrock Small Cap Growth Fund,Unknown,Mutual Fund,101002,265000,0,Y,,
"",AQR Managed Futures Fund,Unknown,Mutual Fund,101002,265000,0,Y,,
"",Profit Sharing Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Missouri (MOST) 529 College Savings Plan,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Grand Prairie TX Water & Wastewater Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Fidelity Trust Cash Reserves,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Dodge & Cox International Fund,Unknown,Mutual Fund,66003,165000,0,Y,,
"",Cohen & Steers International Realty Fund,Real Estate,Mutual Fund,51002,115000,0,Y,,
"",Cohen & Steers Institutional Realty,Real Estate,Mutual Fund,51002,115000,0,Y,,
"",Vanguard 529 College Savings Plan,Unknown,Mutual Fund,50001,100000,0,Y,,
"",University Oklahoma Revs Gen Rev Rfdg,Unknown,Government Bond,50001,100000,0,Y,,
"",University NM Gallup Branch GO,Unknown,Government Bond,50001,100000,0,Y,,
"",South Dakota BRD Regts Hsg Bonds,Unknown,Government Bond,50001,100000,0,Y,,
"",Renton Wash LTD Tax G/O Bonds,Unknown,Government Bond,50001,100000,0,Y,,
"",Rental Timeshare,Real Estate,,50001,100000,0,Y,,
"",Ramapo NY Pub Impt Bonds Ser,Unknown,Government Bond,50001,100000,0,Y,,
"","Polk, Marion & Benton County, OR Sch",Unknown,Government Bond,50001,100000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"","Pierce County, WA FGIC",Unknown,Government Bond,50001,100000,0,Y,,
