orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Southern Group,Unknown,,250001,500000,0,Y,,
"",Loan/Scott for GA,Unknown,Note/Note Receivable,100001,250000,0,Y,,
"",John Hancock Life,Unknown,Mutual Fund,100001,250000,0,Y,,
"","Condo B Branch 10/Banner Elk, NC",Real Estate,,100001,250000,0,Y,,
"",Carmen Gallaghers Trust Private Bank,Unknown,Unknown,100001,250000,0,Y,,
"",Lockett Station Group,Crop Production,,50001,100000,0,Y,,
"",Empire General Life,Unknown,Insurance policies & Annuities,50001,100000,0,Y,,
D000058958,Ameris Bank,Commercial Banks,,50001,100000,0,Y,,
"",Principal Global Investors Money Market,Unknown,Cash/Money Market/Savings/Checking,55376,55376,0,Y,,
D000000669,Principal Financial Group,Securities/Invest,,19885,54884,0,Y,Y,
"",Suntrust Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Pushings Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Principal 401k Account,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",MFS Value Fund,Unknown,Mutual Fund,39117,39117,0,Y,,
"",Vanguard Short-Term Investment Grade,Unknown,,27220,27220,0,Y,,
"",Mfs International Value Fund,Unknown,Mutual Fund,23236,23236,0,Y,,
"",Vanguard Intermediate Term,Unknown,,23121,23121,0,Y,,
"",Principal Large cap S&p 500 Index,Unknown,,22111,22111,0,Y,,
"",Oppenheimer Ltd Term Govt Fund,Unknown,Mutual Fund,21827,21827,0,Y,,
"",Principal International Growth Fund,Unknown,Mutual Fund,18124,18124,0,Y,,
"",Principal Intl Emerging Markets Fund,Unknown,Mutual Fund,17033,17033,0,Y,,
"",UGMA Aim Funds,Unknown,,1001,15000,0,Y,,
"",Loan/Austin Scott for Congress,Unknown,Note/Note Receivable,1001,15000,0,Y,,
"",John Hancock Variable Life,Unknown,Insurance policies & Annuities,1001,15000,0,Y,,
"",Ameris Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,14096,14096,0,Y,,
"",Principal Global Investors Smallcap S&p,Unknown,,13607,13607,0,Y,,
"",MFS High Yield Opportunities Fund,Unknown,Mutual Fund,13251,13251,0,Y,,
"",Principal Real Estate,Unknown,,11193,11193,0,Y,,
"",Fidelity Mid Cap Growth Fund,Unknown,Mutual Fund,10637,10637,0,Y,,
"",Principal Mid cap S&p 400 Index,Unknown,,10595,10595,0,Y,,
"",Principal Midcap Value I Fund,Unknown,Mutual Fund,10476,10476,0,Y,,
"",Principal Global Investors Diversified,Unknown,,10406,10406,0,Y,,
"",Principal Smallcap S&p 600 Index,Unknown,,10317,10317,0,Y,,
"",Principal Global Investors Large S&P 500,Unknown,,10040,10040,0,Y,,
"",Laudus Growth US Large Cap Growth,Unknown,,10017,10017,0,Y,,
"",T Rowe Price Growth Stock Fund,Unknown,Mutual Fund,10008,10008,0,Y,,
"",Principal Global Investors Midcap Blend,Unknown,,7217,7217,0,Y,,
"",Turner/mellon/jacobs Levy Mid cap Growth,Unknown,,6468,6468,0,Y,,
"",Garmin Ltd,Unknown,,6198,6198,0,Y,,
"",Principal Global Investors Mid Cap S&p 4,Unknown,,6138,6138,0,Y,,
"",Total Money Market,Unknown,,5548,5548,0,Y,,
"",Capital Research American Funds Euro,Unknown,Mutual Fund,4965,4965,0,Y,,
"",Alliancebernstein Cci Brown Smallcap Gro,Unknown,,4579,4579,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,4572,4572,0,Y,Y,
D000000182,Ford Motor Co,Automotive,,4197,4197,0,Y,Y,
D000000090,Bank of America,Commercial Banks,,3335,3335,0,Y,Y,
"",Privatebancorp Inc,Unknown,,3292,3292,0,Y,,
"",Columbus Circle Investors Largecap Grow,Unknown,,3284,3284,0,Y,,
D000037610,Sirius XM Radio,TV/Movies/Music,,3280,3280,0,Y,Y,
D000000071,Citigroup Inc,Commercial Banks,,2365,2365,0,Y,Y,
D000024240,Ballard Power Systems,Automotive,,2250,2250,0,Y,,
"",Principal IRA,Unknown,,1,1000,0,Y,,
"",John Hancock American Bond,Unknown,Mutual Fund,975,975,0,Y,,
"",Invesco Charter Fund,Unknown,Mutual Fund,888,888,0,Y,,
"",John Hancock American Growth,Unknown,Mutual Fund,846,846,0,Y,,
"",John Hancock American Growth Income,Unknown,Mutual Fund,783,783,0,Y,,
"",John Hancock American International,Unknown,Mutual Fund,487,487,0,Y,,
"",Pershing Government Account,Unknown,,475,475,0,Y,,
"",Invesco Global Growth Fund,Unknown,Mutual Fund,428,428,0,Y,,
"",Invesco Constellation Fund,Unknown,Mutual Fund,337,337,0,Y,,
D000000174,Lehman Brothers,Securities/Invest,,233,233,0,Y,,
"",Motors Liquidation Co,Unknown,,33,33,0,Y,,
