orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Peppertree Square Ltd,Unknown,,2000002,10000000,0,Y,,
"",Note Receivable - Amy Sanders O'Rourke 2014 Invest,Unknown,Note/Note Receivable,1000001,5000000,0,Y,,
"",Imperial Arms LLC,Real Estate,,1000001,5000000,0,Y,,
"",Stanton Street Technology Group,Unknown,,250001,500000,0,Y,,
"",CAMPR Investment Partnership Goldman Sachs Financi,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Amy- checking- Capital Bank,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Virtus Multi Sect SHT TRM Bond,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Beto Fidelity Advanced Freedom 2040,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Trusted Hands Federated Ultrashort Bond SS,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Thornburg International Value I,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Prudential Global Real Estate Fund,Real Estate,,1001,15000,0,Y,,
"",Metropolitan West Total Return Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",JP Morgan Rsrch Market Neutra Sel,Unknown,Mutual Fund,1001,15000,0,Y,,
"",JP Morgan Mid Cap Value S,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Invesco Premier Institutional,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Invesco International Growth Y,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Invesco Developing Markets Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Amy Fidelity Advanced Freedom 2045,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Eaton Vance Income Fund of Boston,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Deutsche Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Delaware Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Blackrock US Opportunities INS,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Blackrock Equity Dividend Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Beto- checking- Wells Fargo,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Trusted Hands Prudential SH-TM Corp Bond Z,Unknown,Mutual Fund,1,1000,0,Y,,
