orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000021757,Berkshire Hathaway,Securities/Invest,,817006,1680000,0,N,Y,Y
D000024095,Apache Corp,Oil & Gas,,531004,1115000,0,N,Y,
"",Nebraska Medical Center Retirement Plan,Unknown,"Brokerage, IRA, 401k",101002,265000,0,N,,
D000021800,3M Co,Misc Mfg/Distrib,,101002,265000,0,N,Y,
D000000386,Johnson & Johnson,Pharm/Health Prod,,32004,130000,0,N,Y,
D000000118,Union Pacific Corp,Railroads,,50001,100000,0,N,Y,Y
D000042474,Roche Holdings,Pharm/Health Prod,,50001,100000,0,N,Y,
D000027193,Lennox International,Subcontractors,,30002,100000,0,N,Y,
"",Ferlic Investments,Unknown,,50001,100000,0,N,,
"",BRK B,Unknown,,50001,100000,0,N,,
D000021754,Apple Inc,Electronics Mfg/Eqp,,50001,100000,0,N,Y,
D000067057,Mondelez International,Food Process/Sales,,17003,80000,0,N,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,17003,80000,0,N,Y,
D000028426,PPG Industries,Chemicals,,16002,65000,0,N,Y,
D000000125,General Electric,Misc Mfg/Distrib,,16002,65000,0,N,Y,
D000000129,Exxon Mobil,Oil & Gas,,16002,65000,0,N,Y,
D000000212,Coca-Cola Co,Food & Beverage,,16002,65000,0,N,Y,
D000000149,Bristol-Myers Squibb,Pharm/Health Prod,,16002,65000,0,N,Y,
D000000128,Walt Disney Co,TV/Movies/Music,,15001,50000,0,N,Y,
D000037414,Schlumberger Ltd,Oil & Gas,,15001,50000,0,N,,
D000000200,Pepsico Inc,Food & Beverage,,15001,50000,0,N,Y,
D000036243,Nordstrom Inc,Retail Sales,,15001,50000,0,N,,
D000042332,Nestle SA,Food & Beverage,,15001,50000,0,N,Y,
D000000373,McDonald's Corp,Food & Beverage,,15001,50000,0,N,Y,
D000000133,GlaxoSmithKline,Pharm/Health Prod,,15001,50000,0,N,Y,
D000000495,DuPont Co,Chemicals,,15001,50000,0,N,Y,
"",Dreyfus Worldwide Growth Fund,Unknown,Mutual Fund,15001,50000,0,N,,
D000000350,Delta Air Lines,Air Transport,,15001,50000,0,N,Y,
D000000352,Caterpillar Inc,Building Materials,,15001,50000,0,N,Y,
D000000487,US Bancorp,Commercial Banks,,2002,30000,0,N,Y,
D000021773,Travelers Companies,Insurance,,2002,30000,0,N,Y,
D000055403,Philip Morris International,Tobacco,,2002,30000,0,N,Y,
D000000138,Pfizer Inc,Pharm/Health Prod,,2002,30000,0,N,Y,
"",Medtronic PLC,Unknown,,2002,30000,0,N,,
D000035098,Kimberly-Clark Corp,Misc Mfg/Distrib,,2002,30000,0,N,Y,
D000019828,Emerson Electric,Misc Mfg/Distrib,,2002,30000,0,N,Y,
D000025111,Consolidated Edison Inc,Electric Utilities,,2002,30000,0,N,Y,
"",Conagra Foods,Food Process/Sales,,2002,30000,0,N,,
D000000076,AT&T Inc,Telephone Utilities,,2002,30000,0,N,Y,
D000000067,Altria Group,Tobacco,,2002,30000,0,N,Y,
D000001024,Kraft Foods,Food Process/Sales,,1002,16000,0,N,,
D000000090,Bank of America,Commercial Banks,,1002,16000,0,N,Y,Y
D000058827,Zimmer Holdings,Pharm/Health Prod,,1001,15000,0,N,Y,
"",Williams Cos,Oil & Gas,,1001,15000,0,N,,
D000019743,Wells Fargo,Commercial Banks,,1001,15000,0,N,Y,
D000000079,Verizon Communications,Telephone Utilities,,1001,15000,0,N,Y,Y
"",Unilever PLC,Food Process/Sales,,1001,15000,0,N,,
D000030608,Unilever,Misc Mfg/Distrib,,1001,15000,0,N,Y,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,1001,15000,0,N,Y,
D000022192,Pitney Bowes Inc,Misc Mfg/Distrib,,1001,15000,0,N,Y,
D000022163,Novartis AG,Pharm/Health Prod,,1001,15000,0,N,Y,
"",Nebraska Solutions LLC,Unknown,,1001,15000,0,A,,
D000000355,Motorola Solutions,Telecom Svcs,,1001,15000,0,N,Y,
D000000275,Merck & Co,Pharm/Health Prod,,1001,15000,0,N,Y,
D000027441,Masco Corp,Misc Mfg/Distrib,,1001,15000,0,N,Y,
D000021655,Macy's Inc,Retail Sales,,1001,15000,0,N,,
D000000419,Home Depot,Retail Sales,,1001,15000,0,N,Y,
D000000182,Ford Motor Co,Automotive,,1001,15000,0,N,Y,
"",Dryships Inc,Sea Transport,,1001,15000,0,N,,
D000018253,Discover Financial Services,Finance/Credit,,1001,15000,0,N,Y,
D000032736,Colgate-Palmolive Co,Pharm/Health Prod,,1001,15000,0,N,Y,
D000024873,Cliffs Natural Resources,Mining,,1001,15000,0,N,Y,
D000000015,Chevron Corp,Oil & Gas,,1001,15000,0,N,Y,
D000021868,BB&T Corp,Commercial Banks,,1001,15000,0,N,Y,
"",Bank Of Ireland The Governor & Co of the Bank of I,Unknown,,1001,15000,0,N,,
D000000217,American Express,Finance/Credit,,1001,15000,0,N,Y,
D000031387,Alcoa Inc,Misc Mfg/Distrib,,1001,15000,0,N,Y,
D000066804,Abbvie Inc,Pharm/Health Prod,,1001,15000,0,N,Y,
D000000383,Abbott Laboratories,Pharm/Health Prod,,1001,15000,0,N,Y,
"",Piper Jaffray Companies,Unknown,,2,2000,0,N,,
D000034869,JM Smucker Co,Food Process/Sales,,2,2000,0,N,Y,
D000037375,Hillshire Brands Co,Food Process/Sales,,2,2000,0,N,,
D000041306,HanesBrands Inc,Misc Mfg/Distrib,,2,2000,0,N,Y,
"",Halyard Health,Pharm/Health Prod,,2,2000,0,N,,
D000066710,Frontier Communications,Telephone Utilities,,2,2000,0,N,Y,
D000065824,WPX Energy,Oil & Gas,,1,1000,0,N,Y,
D000022216,Regions Financial,Commercial Banks,,1,1000,0,N,Y,
D000035801,Mercury General Corp,Unknown,,1,1000,0,N,,
D000000674,Level 3 Communications,Telecom Svcs,,1,1000,0,N,Y,
D000000326,JC Penney,Retail Sales,,1,1000,0,N,Y,
D000061666,Hercules Offshore,Oil & Gas,,1,1000,0,N,Y,
