orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",DC Property with Rental Unit,Real Estate,,1000001,5000000,0,Y,,
"",UBS Bank USA Account,,"Brokerage, IRA, 401k",250001,500000,0,Y,,
"",SPDR S&P 500 ETF Trust,,Mutual Fund,200002,500000,0,Y,,
"",iShares Russell 1000 Growth Index Fund,,Mutual Fund,150002,350000,0,Y,,
"",Putnam Short Duration Income Fund,,Mutual Fund,115002,300000,0,Y,,
"",Wells Fargo Short Term Municipal Bond Fund,,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Russell 1000 Value Fund,,Mutual Fund,100001,250000,0,Y,,
"",Thornburg Ltd Term Municipal Fund,,Mutual Fund,100001,250000,0,Y,,
"",Metropolitan West Total Return Bond Fund,,Mutual Fund,100001,250000,0,Y,,
"",Fifth Third Bank Account,,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Oak Ridge Small Cap Growth Fund,,Mutual Fund,65002,150000,0,Y,,
"",Neuberger Berman Long Short Fund,,Mutual Fund,65002,150000,0,Y,,
"",JP Morgan Chase Bank MLCD Efficiente 5,,Mutual Fund,65002,150000,0,Y,,
"",Gateway Fund,,Mutual Fund,65002,150000,0,Y,,
"",First Eagle Overseas Fund,,Mutual Fund,65002,150000,0,Y,,
"",SPDR S&P 500 Trust ETF,,Mutual Fund,50001,100000,0,Y,,
"",Schroder Emerging Market Equity Fund Investor Clas,,Mutual Fund,50001,100000,0,Y,,
"",Royce Total Return Fund,,Mutual Fund,30002,100000,0,Y,,
"",Pimco All Asset All Authority Fund,,Mutual Fund,50001,100000,0,Y,,
"",MFS Total Return Bond Fund,,Mutual Fund,50001,100000,0,Y,,
"",Manning & Napier World Opportunities,,Mutual Fund,50001,100000,0,Y,,
"",iShares National Amt Free Muni Bond ETF,,Mutual Fund,50001,100000,0,Y,,
"",IShares IBonds Corporate ETF,,Mutual Fund,50001,100000,0,Y,,
"",Henderson European Focus Fund,,Mutual Fund,50001,100000,0,Y,,
"",361 Managed Futures Strategy Fund,,Mutual Fund,30002,100000,0,Y,,
"",iShares S&P 500 Growth Index,,Mutual Fund,17003,80000,0,Y,,
"",SPDR S&P Mid Cap 400 ETF,,Mutual Fund,16002,65000,0,Y,,
"",Vanguard FTSE Emerging Markets Fund,,Mutual Fund,15001,50000,0,Y,,
"",UBS Bank Account,,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",SPDR S&P Dividend (SDY),,Mutual Fund,15001,50000,0,Y,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,15001,50000,0,Y,Y,Y
"",PIMCO Short-Term Fund,,Mutual Fund,15001,50000,0,Y,,
"",Nuveen Flagship Ohio Municipal Bond Fund,,Mutual Fund,15001,50000,0,Y,,
"",JPMorgan Strategic Income Opportunities Fund,,Mutual Fund,15001,50000,0,Y,,
"",IShares MSCI Eurozone ETF,,Mutual Fund,15001,50000,0,Y,,
"",iShares Morningstar Multi Asset Income Index,,Mutual Fund,15001,50000,0,Y,,
"",iShares Core MSCI EAFE ETF,,Mutual Fund,15001,50000,0,Y,,
"",IShares Core International Stock ETF,,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Rollover IRA IRA Bank Account,,Mutual Fund,15001,50000,0,Y,,
"",Eaton Vance Floating Rate & High Income Fund,,Mutual Fund,15001,50000,0,Y,,
"",Wisdomtree Japan Hedged Equity Fund,,Mutual Fund,2002,30000,0,Y,,
"",Virtus Multi-Sector Short Term Bond Fund,,Mutual Fund,2002,30000,0,Y,,
"",Victory Floating Rate Fund,,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Russell 1000 Value,,Mutual Fund,1001,15000,0,Y,,
"",Technology Sector SPDR Trust,Electronics Mfg/Eqp,Mutual Fund,1001,15000,0,Y,,
"",PNC Bank Account,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",JP Morgan Strategic Income Opportunities Fund,,Mutual Fund,1001,15000,0,Y,,
"",IRA Bank Account,,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Fidelity Government Money Market Fund,,Mutual Fund,1001,15000,0,Y,,
"",Eaton Vance Floating Rate Fund,,Mutual Fund,1001,15000,0,Y,,
D000000212,Coca-Cola Co,Food & Beverage,,1001,15000,0,Y,Y,
