orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Land 181.841 Acres,Real Estate,,250001,500000,0,N,,
"",Community Bank on Texas,Commercial Banks,Cash/Money Market/Savings/Checking,250001,500000,0,N,,
"",Note Receivable C Calab Spurlock DOJ PLLC,Unknown,Note/Note Receivable,100001,250000,0,N,,
"",Education First Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,N,,
D000043097,UBS Bank USA,Unknown,,16002,65000,0,N,,
"",ING Corporate Leaders Trust Fund,Unknown,Mutual Fund,16002,65000,0,N,,
"",Virtus Multi Sector Short Term Bond Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Templeton Global Bond Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Pimco Funds Stock Plus Absolute Return Fd,Unknown,Mutual Fund,15001,50000,0,N,,
"",Permanent Portfolio Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Note Receivable Brian Babin for Congress,Unknown,Note/Note Receivable,15001,50000,0,N,,
"",Man-AHL Diversified I,Unknown,Mutual Fund,15001,50000,0,N,,
"",Loomis Sayles Strategic Income Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Lincoln Financial Life Ins Cash Value,Unknown,Insurance policies & Annuities,15001,50000,0,N,,
D000040346,Kinder Morgan Energy Partners,Oil & Gas,,15001,50000,0,N,,
"",Ishares US Aerospace & Defense Index Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Invesco Real Estate Fund,Real Estate,Mutual Fund,15001,50000,0,N,,
"",Invesco Convertible Securities Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Huntington Ingalls,Unknown,,15001,50000,0,N,,
"",Henderson Global Investors Intl Opp,Unknown,Mutual Fund,15001,50000,0,N,,
"",Growth Fund on Amer Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Franklin High Income Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Franklin Custodian Growth Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Federated Kaufman Large Cap Fund,Unknown,Mutual Fund,15001,50000,0,N,,
D000000129,Exxon Mobil,Oil & Gas,,15001,50000,0,N,Y,Y
"",Energy Transfer Equity LP,Oil & Gas,,15001,50000,0,N,,
"",Citizen State Bank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,N,,
D000000015,Chevron Corp,Oil & Gas,,15001,50000,0,N,Y,Y
"",BHP Billiton Ltd,Mining,,15001,50000,0,N,,
"",Fidelity Advisor Industrials,Unknown,Mutual Fund,2002,30000,0,N,,
"",American Funds US Govt Securities Fund,Unknown,Mutual Fund,2002,30000,0,N,,
"",American Funds High Income Trust Fund,Unknown,Mutual Fund,2002,30000,0,N,,
"",American Funds Capital Income Builder Fund,Unknown,Mutual Fund,2002,30000,0,N,,
"",American Century Inflation Adjusted Bond,Unknown,Mutual Fund,2002,30000,0,N,,
"",WF Advantage Money Market,Unknown,Mutual Fund,1001,15000,0,N,,
"",Westshore terms Invt,Unknown,,1001,15000,0,N,,
"",Western Asset Municipal High Income Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Virtus Real Estate Securities Fund,Real Estate,Mutual Fund,1001,15000,0,N,,
"",Virtus Emerging Markets Opportunities Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Trans America High Yield Bond Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",TCW Emerging Markets Income Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Silver Wheaton Corp,Mining,,1001,15000,0,N,,
"",Seadrill Ltd US Line,Unknown,,1001,15000,0,N,,
"",Range Resources,Oil & Gas,,1001,15000,0,N,,
"",Prudential Jennison Natural Resources Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Plains All Amer Pipeline LP Unit Ltd Partnership,Unknown,,1001,15000,0,N,,
"",Perkins Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Pace Money Market Invest Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Oppenheimer Developing Markets Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000027988,Newmont Mining,Mining,,1001,15000,0,N,Y,
"",MFS Emerging Markets Bond Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Merck Hand Currency Fund Invs,Unknown,Mutual Fund,1001,15000,0,N,,
"",Market Vectors Gold Miners ETF,Mining,Mutual Fund,1001,15000,0,N,,
"",Livestock Sales,Livestock,,1001,15000,0,N,,
"",Invesco Mid Cap Core Equity Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Income Fund on America,Unknown,Mutual Fund,1001,15000,0,N,,
"",IAMGOLD Corp,Mining,,1001,15000,0,N,,
"",Hi Crush Partners LP MLP,Unknown,,1001,15000,0,N,,
"",Hartford International Opportunities Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Goldman Sachs Short Duration Govt Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000064776,Goldcorp Inc,Mining,,1001,15000,0,N,,
"",Gabelli Small Cap Growth  Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Franklin Templeton Global Bond Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",First Eagle Gold Fund,Mining,Mutual Fund,1001,15000,0,N,,
"",Fidelity Select Parts Deferred,Unknown,Mutual Fund,1001,15000,0,N,,
"",EV Energy Partners LP,Unknown,,1001,15000,0,N,,
D000033463,Enterprise Products Partners,Oil & Gas,,1001,15000,0,N,Y,Y
D000064710,Enbridge Energy Partners,Oil & Gas,,1001,15000,0,N,,
"",DWS Capital Growth Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Compass Diversified Holdings,Misc Finance,,1001,15000,0,N,,
"",Brian Babin DDS SEP American Funds American Mutual,Unknown,Mutual Fund,1001,15000,0,N,,
"",Blackrock National Municipal Fund,Unknown,Mutual Fund,1001,15000,0,N,,
D000045868,Barrick Gold Corp,Mining,,1001,15000,0,N,Y,
"",Approach Resources Inc,Oil & Gas,,1001,15000,0,N,,
"",American Funds Income Fund on American,Unknown,Mutual Fund,1001,15000,0,N,,
"",American Funds American Mutual Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Alpine Ultra Short Tax Optimized Income,Unknown,,1001,15000,0,N,,
"",Access Midstream Partners,Oil & Gas,,1001,15000,0,N,,
"",Dr Brian Babin SEP-IRA Pace Money Market Investme,Unknown,Mutual Fund,1,1000,0,N,,
