orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",WL Gore Assoc,Electronics Mfg/Eqp,,5000005,9000004,0,Y,,
"","PNC Bank(Wilmington, DE)/Checking",Unknown,Cash/Money Market/Savings/Checking,150003,300000,0,Y,,
"",Hartford Disciplined Equity Fund,Unknown,Mutual Fund,115002,300000,0,Y,,
"","WSFS Bank(Wilmington, DE)/Checking",Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Ages 15-17 Years Portfolio C (1104),Unknown,Mutual Fund,100001,250000,0,Y,,
"",Ages 12-14 Years Portfolio C (1101),Unknown,Mutual Fund,100001,250000,0,Y,,
"",Lord Abbett Multi-Asset Growth C Fund,Unknown,Mutual Fund,45003,150000,0,Y,,
"",Virtus AlphaSector Rotation,Unknown,Mutual Fund,50001,100000,0,Y,,
"",School Years Portfolio C (1585),Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Oppenheimer Value Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Hartford Capital Total Return Bond Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Albern VPS International Val,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Putnam VT SmCap Val,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Putnam VT International Equity,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Oppenheimer Main Street Small Cap Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"","M&T Bank(Wilmington, DE)/Checking",Unknown,Cash/Money Market/Savings/Checking,16002,65000,0,Y,,
"",Invesco Comstock Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Hartford International Opp HLS,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Fidelity VIP Equity Income Portfolio,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Albern VPS Val,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Sentinel Low Duration Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Oppenheimer Small & Mid Cap Value N,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Oppenheimer International Small Co N,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Oppenheimer International Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Moderately Aggressive Portfolio A (1182),Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Prime Fund Capital Reserves Fund,Unknown,Mutual Fund,3003,45000,0,Y,,
"",Oppenheimer Capital Appreciation Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Fidelity VIP Growth Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Fidelity Cash Reserve Fund,Unknown,Mutual Fund,1001,16000,0,Y,,
"",Virtus Foreign Opportunities Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Real Estate Fund,Real Estate,,1001,15000,0,Y,,
"",Oppenheimer International Value,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer International Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Gold & Special Minerals Fund,Unknown,,1001,15000,0,Y,,
"",Oppenheimer Commodity Strat Total Ret N,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hartford Small Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
