orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Trump Turnberry,Lodging/Tourism,,50000001,50000001,1,N,,
"",Trump Tower Triplex,Real Estate,,50000001,50000001,1,N,,
"",Trump Tower Commercial,Real Estate,,50000001,50000001,1,N,,
"",Trump Ruffin Tower I,Real Estate,,50000001,50000001,1,N,,
"",Trump Park Avenue,Real Estate,,50000001,50000001,1,N,,
"",Trump National Golf Club - Westchester,Recreation,,50000001,50000001,1,N,,
"",Trump National Golf Club - Washington DC,Recreation,,50000001,50000001,1,N,,
"",Trump National Golf Club - Los Angeles,Recreation,,50000001,50000001,1,N,,
"",Trump National Golf Club - Jupiter,Recreation,,50000001,50000001,1,N,,
"",Trump National Golf Club - Colts Neck,Recreation,,50000001,50000001,1,N,,
"",Trump National Golf Club - Bedminster,Recreation,,50000001,50000001,1,N,,
"",Trump National Doral Miami,Lodging/Tourism,,50000001,50000001,1,N,,
"",Trump International Hotels Management,Lodging/Tourism,,50000001,50000001,1,N,,
"",Trump International Golf Links - Scotland,Recreation,,50000001,50000001,1,N,,
"",Trump Corp,Real Estate,,50000001,50000001,1,N,,
"",Seven Springs LLC,Real Estate,,50000001,50000001,1,N,,
"",Mar-A-Lago Club,Lodging/Tourism,,50000001,50000001,1,N,,
"",Fifty-Seventh Street Assoc,Real Estate,,50000001,50000001,1,N,,
"",DJT Operations I LLC,Air Transport,,50000001,50000001,1,N,,
"",555 California Street,Home Builders,,50000001,50000001,1,N,,
"",401 North Wabash Venture LLC,Real Estate,,50000001,50000001,1,Y,,
"",40 Wall Street,Real Estate,,50000001,50000001,1,Y,,
"",1290 Avenue of the Americas,Real Estate,,50000001,50000001,1,N,,
D000040079,Trump Plaza,Lodging/Tourism,,25000001,50000000,0,N,,
"",Trump International Golf Club-Florida,Recreation,,25000001,50000000,0,N,,
"",Trump CPS LLC,Real Estate,,25000001,50000000,0,N,,
"",TIHT Commercial LLC,Real Estate,,25000001,50000000,0,N,,
"",Blackrock's Obsidian Fund,Securities/Invest,,25000001,50000000,0,N,,
"",Residential Real Estate,Real Estate,,6000002,30000000,0,N,,
"",809 North Canon LLC,Real Estate,,5001002,25015000,0,Y,,
"",Trump Virginia Acquisitions,"Beer, Wine & Liquor",,5000001,25000000,0,N,,
"",Trump Vineyard Estates LLC,"Beer, Wine & Liquor",,5000001,25000000,0,N,,
"",Trump Old Post Office LLC,Real Estate,,5000001,25000000,0,N,,
"",Trump National Golf Club - Philadelphia,Recreation,,5000001,25000000,0,N,,
"",Trump National Golf Club - Hudson Valley,Recreation,,5000001,25000000,0,N,,
"",Trump National Golf Club - Charlotte,Recreation,,5000001,25000000,0,N,,
"",Trump International Golf Links - Doonberg,Recreation,,5000001,25000000,0,N,,
"",Trump Ferry Point LLC,Recreation,,5000001,25000000,0,N,,
"",Starrett City LP,Real Estate,,5000001,25000000,0,N,,
"",Miss Universe LP,Retail Sales,,5000001,25000000,0,N,,
"",Excel Venture LLC,Securities/Invest,,5000001,25000000,0,N,,
"",DJT Operations CX,Air Transport,,5000001,25000000,0,N,,
"",DJT Holdings LLC,Real Estate,,5000001,25000000,0,N,,
"",Caribusiness Investments SRL,Real Estate,,5000001,25000000,0,Y,,
"",Capital One Bank/Checking & Savings,Unknown,Cash/Money Market/Savings/Checking,5000001,25000000,0,N,,
"",845 United Nations Plaza,Real Estate,,5000001,25000000,0,Y,,
