orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Distribution from sale of house,Real Estate,,50001,100000,0,A,,
D000030546,Triton Systems,Unknown,,15001,50000,0,A,,
"",TIAA-CREF,,"Brokerage, IRA, 401k",15001,50000,0,A,,
"",Lasers,Unknown,,15001,50000,0,A,,
"",Child 1,,"Brokerage, IRA, 401k",15001,50000,0,A,,
"",Janus Global Research,,,2002,30000,0,A,,
"",Checking/Savings account,,Cash/Money Market/Savings/Checking,2002,30000,0,A,,
D000064241,Vodafone Group,Telecom Svcs,,1001,15000,0,A,,
D000000079,Verizon Communications,Telephone Utilities,,1001,15000,0,A,Y,Y
"",Undeveloped Property,Real Estate,,1001,15000,0,A,,
D000030081,Stein Mart,Retail Sales,,1001,15000,0,A,,
D000054859,Nuance Communications,Electronics Mfg/Eqp,,1001,15000,0,A,,
"",Money Market Account,,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",Janus Fund,,Mutual Fund,1001,15000,0,A,,
"",JAG Greenscape,Unknown,,1001,15000,0,A,,
"",Intech US Core,Unknown,,1001,15000,0,A,,
"",Emergings Markets,,Mutual Fund,1001,15000,0,A,,
"",Child 3,,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",Child 2,,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",3-D Systems,Unknown,,1001,15000,0,A,,
"",John & Cynthia Graves Life Insurance Trust #2,,Insurance policies & Annuities,1,1000,0,A,,
"",John & Cynthia Graves Life Insurance Trust #1,,Insurance policies & Annuities,1,1000,0,A,,
D000000071,Citigroup Inc,Commercial Banks,,1,1000,0,A,Y,
