orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Vanguard Health Care Inv Fund,Misc Health,,500001,1000000,0,Y,,
"",Principal LifeTime 2015 R2,,Mutual Fund,250001,500000,0,Y,,
D000021754,Apple Inc,Electronics Mfg/Eqp,,250001,500000,0,Y,Y,
D000021757,Berkshire Hathaway,Securities/Invest,,166004,415000,0,Y,Y,Y
"",Principal LifeTime 2020 Fund,,Mutual Fund,100001,250000,0,Y,,
"",Fidelity Select Computers Portfolio,,Mutual Fund,100001,250000,0,Y,,
"",Fidelity Contrafund,,Mutual Fund,100001,250000,0,Y,,
"",E*Trade Sweep Deposit account,,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",DWS Global Small Cap Growth Fund,,Mutual Fund,100001,250000,0,Y,,
"",Baron Small Cap Retail Fund,,Mutual Fund,100001,250000,0,Y,,
"",US Treasury Bond 20 year inflation,,Government Bond,100002,200000,0,Y,,
"",Whole Life Insurance PolicyProvider: Reliastar Lif,,Insurance policies & Annuities,50001,100000,0,Y,,
"",Vanguard Energy Fund,Misc Energy,,50001,100000,0,Y,,
D000067140,Otter Tail Corp,Electric Utilities,,50001,100000,0,Y,,
D000000103,JPMorgan Chase & Co,Commercial Banks,,50001,100000,0,Y,Y,Y
"",Janus Twenty T Fund,,Mutual Fund,50001,100000,0,Y,,
"",Janus Global Select T,,Mutual Fund,50001,100000,0,Y,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,50001,100000,0,Y,Y,
"",Highland Floating Rate Opportunities Fund,,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Select Comms Equip Port,,Mutual Fund,50001,100000,0,Y,,
"",Baron Partners Retail,,Mutual Fund,50001,100000,0,Y,,
D000067823,Alphabet Inc,Internet,,30002,100000,0,Y,Y,Y
D000027521,MDU Resources Group,Electric Utilities,,16002,65000,0,Y,Y,
"",Wells Fargo Checking,,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000000138,Pfizer Inc,Pharm/Health Prod,,15001,50000,0,Y,Y,Y
D000000422,Oracle Corp,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000022110,Medtronic Inc,Pharm/Health Prod,,15001,50000,0,Y,Y,
"",Janus T Fund,,Mutual Fund,15001,50000,0,Y,,
"",Janus Enterprise T Fund,,Mutual Fund,15001,50000,0,Y,,
"",iShares NYSE Composite Index ETF,,Mutual Fund,15001,50000,0,Y,,
"",iShares MSCI Emerging Markets Index,,Mutual Fund,15001,50000,0,Y,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
"",E*Trade Savings,,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Co Ownership of 1/4 of land in Stutsman County NDD,Real Estate,,15001,50000,0,Y,,
D000000100,Boeing Co,Defense Aerospace,,15001,50000,0,Y,Y,Y
D000031718,Autodesk Inc,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
"",HH Bond,,Cash/Money Market/Savings/Checking,3003,45000,0,Y,,
"",EE BOND / SON,,,3003,45000,0,Y,,
"",EE BOND / DAUGHTER,,,3003,45000,0,Y,,
"",JPMorgan GEN MUNI E*TRADE Fund,,Mutual Fund,2002,30000,0,Y,,
"",Wells Fargo Savings,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000367,Wal-Mart Stores,Retail Sales,,1001,15000,0,Y,Y,Y
"",Vanguard Emerging Markets Fund,,Mutual Fund,1001,15000,0,Y,,
D000029286,SuperValu Inc,Food Process/Sales,,1001,15000,0,Y,,
"",SERIES I SAVINGS BOND,,Government Bond,1001,15000,0,Y,,
D000054859,Nuance Communications,Electronics Mfg/Eqp,,1001,15000,0,Y,,
D000000275,Merck & Co,Pharm/Health Prod,,1001,15000,0,Y,Y,Y
D000000571,Mattel Inc,Misc Mfg/Distrib,,1001,15000,0,Y,,
"",JPMorgan Municipal Money Market Fund,,Mutual Fund,1001,15000,0,Y,,
"",Home Inns & Hotels Management Inc,Lodging/Tourism,,1001,15000,0,Y,,
"",Hewlett-Packard Co,,,1001,15000,0,Y,,
D000026387,Harley-Davidson Inc,Misc Transport,,1001,15000,0,Y,Y,
D000000133,GlaxoSmithKline,Pharm/Health Prod,,1001,15000,0,Y,Y,Y
D000021977,Express Scripts,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",E*trade Joint Checking with Daughter New York City,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000025615,E*TRADE Financial,Securities/Invest,,1001,15000,0,Y,,
D000000091,BP,Oil & Gas,,1001,15000,0,Y,Y,Y
D000021901,Avis Budget Group,Automotive,,1001,15000,0,Y,Y,
D000024099,Applied Materials Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000023834,Alcatel-Lucent,Telecom Svcs,,1001,15000,0,Y,Y,
"",2 Mineral Acres in Williams County,Mining,,1001,15000,0,Y,,
"",E-Trade Money Market Account,,"Brokerage, IRA, 401k",0,1000,0,Y,,
"",DWS International Fund,,Mutual Fund,0,1000,0,Y,,
