orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Rental House,Real Estate,,850003,1750000,0,Y,,
"",Rental Plex,Real Estate,,750002,1500000,0,Y,,
"",Personal Loan/Jeff Merkley for Oregon,Unknown,Note/Note Receivable,250001,500000,0,Y,,
"",Undeveloped Lot,Real Estate,,50001,100000,0,Y,,
"",Fidelity Cash Reserves,Unknown,Cash/Money Market/Savings/Checking,17003,80000,0,Y,,
"",Fidelity Contrafund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Providence Core Retirement Plan,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Fidelity Spartan 500 Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Low Priced Stock Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Blue Chip Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Discovery Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Fidelity Blue Chip Growth Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Public Employee Retirement Reg Account,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Public Employee Retirement Ind Account,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Fidelity Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Growth Company Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Bank of America/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
