orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Hanston Insurance Agency,Insurance,,100001,250000,0,Y,,
D000000129,Exxon Mobil,Oil & Gas,,50001,100000,0,Y,Y,Y
"",American Funds Investment Co of America,Unknown,Mutual Fund,17003,80000,0,Y,,
"",MFS Massachusetts Investors Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",ING Life Insurance Annuity,Unknown,Insurance policies & Annuities,15001,50000,0,A,,
"",Capital World Growth & Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Bank Deposit Sweep Option,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Income Fund of America,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Fidelity Growth Opportunity Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",SP Capital Income Builder Fund,Unknown,Mutual Fund,1001,15000,0,A,,
D000037414,Schlumberger Ltd,Oil & Gas,,1001,15000,0,Y,Y,
D000000138,Pfizer Inc,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",Lincoln Life Special Opportunities Fund,Unknown,Mutual Fund,1001,15000,0,A,,
D000000281,Halliburton Co,Oil & Gas,,1001,15000,0,Y,Y,
D000000015,Chevron Corp,Oil & Gas,,1001,15000,0,Y,Y,
D000000100,Boeing Co,Defense Aerospace,,1001,15000,0,Y,Y,Y
