orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Sun Life of Canada Insurance Policy,Unknown,Insurance policies & Annuities,500001,1000000,0,Y,,
"",Morgan Stanley Aggressive Equity Fund,Unknown,Mutual Fund,200002,500000,0,Y,,
"","1065 Frenchtown Road/East Greenwich, RI",Real Estate,,250001,500000,0,Y,,
"",Morgan Stanley Value Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Eaton Vance National Municipals Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",American Funds Washington Mutual Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"","9 Jefferson Street/Warwick, RI",Real Estate,,100001,250000,0,Y,,
"","65 Chesterfield/Warwick, RI",Real Estate,,100001,250000,0,Y,,
"","340 Shawmut Ave/Warwick, RI",Real Estate,,100001,250000,0,Y,,
"","25 Scott Avenue/Warwick, RI",Real Estate,,100001,250000,0,Y,,
"","17 Scott Avenue/Warwick, RI",Real Estate,,100001,250000,0,Y,,
"","15 Jefferson Street/Warwick, RI",Real Estate,,100001,250000,0,Y,,
"","14901 Park Lane Drive/Ft Meyers, FL",Real Estate,,100001,250000,0,Y,,
"",Van Kampen Muni Invest SBI,Unknown,Government Bond,50001,100000,0,Y,,
D000029279,Sun Life Assurance Co of Canada,Insurance,,50001,100000,0,Y,,
"",Nuveen Global Value Opportunity Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Morgan Stanley Global Utilities Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Western Asset Managed Municipals Port,Unknown,Government Bond,15001,50000,0,Y,,
"",Van Kampen DJ Dividend Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",MFS Municipal Income Trust,Unknown,Mutual Fund,15001,50000,0,Y,,
"",EAFE Select,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Bonnet Shores Beach Cabana,Unknown,Unknown,15001,50000,0,Y,,
"",Blackrock Muniyield Quality Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Blackrock Munivest Fund II Inc,Unknown,Government Bond,15001,50000,0,Y,,
"",US Savings Bonds,Unknown,Government Bond,1001,15000,0,Y,,
"",MS Charter MSFCM,Unknown,Unknown,1001,15000,0,Y,,
"",MS Charter Graham,Unknown,Unknown,1001,15000,0,Y,,
"",MS Charter Campbell,Unknown,Unknown,1001,15000,0,Y,,
"",International Value Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Citizens Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Blackrock Muni Enhanced Fund,Unknown,Government Bond,1001,15000,0,Y,,
"",Bank Rhode Island/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,1001,15000,0,Y,,
