orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Vanguard Total Stock Market Idx Adm Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Wyoming Orthopaedics Institute,Health Professionals,,250001,500000,0,Y,,
"",Vanguard Tax-Exempt Money Market,Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Vanguard REIT Index,Real Estate,,250001,500000,0,Y,,
"",Vanguard Inflation-Protected Secs Adm Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Vanguard Money Market Reserves,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Undeveloped land,Unknown,,100001,250000,0,Y,,
D000021757,Berkshire Hathaway,Securities/Invest,,100001,250000,0,Y,Y,Y
"",Account Receivable/Wyoming Surgical Center,Unknown,Note/Note Receivable,50001,100000,0,Y,,
"","Wells Fargo Bank(Casper, WY)/Checking",Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"","First Interstate Bank(Casper, WY)/Checking",Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Account ReceivableDebtor/Dr Matthew Gorman ,Unknown,Note/Note Receivable,15001,50000,0,Y,,
"",Prime Money Market RBC Investor,Unknown,Mutual Fund,1001,15000,0,Y,,
"","Jonah Bank(Casper, WY)/Checking",Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"","Hilltop National Bank(Casper, WY)/Checking",Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Account ReceivableDebtor/Dr Steven Orcutt ,Unknown,Note/Note Receivable,0,1000,0,Y,,
