orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",JCF Properties LP,Unknown,,5000001,25000000,0,Y,,
"",North Louisiana Restaurants,Food & Beverage,,1050002,5100000,0,Y,,
"",Fleming Expansions,Misc Services,,1050002,5100000,0,Y,,
"",North Louisiana Subway Restaurants,Food & Beverage,,1000001,5000000,0,Y,,
"",Fleming Properties LLC,Real Estate,,1030011,2250000,0,Y,,
"","Rental Property/6452 Walnut Hill/Dallas, TX",Real Estate,,250001,500000,0,Y,,
"",Minden Office Park Land,Real Estate,,250001,500000,0,Y,,
"",Minden Family Care Center APMC,Unknown,,250001,500000,0,Y,,
"",Management Company,Unknown,,100001,250000,0,Y,,
"",JCF Land Investments LLC,Unknown,,100001,250000,0,Y,,
"",Capital One Bank accounts,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"","Atlanta, GA",Unknown,Mutual Fund,100001,250000,0,Y,,
"",MFS International Growth Fund,Unknown,Mutual Fund,65002,150000,0,Y,,
"",Universal Life Insurance Policy,Unknown,Insurance policies & Annuities,50001,100000,0,Y,,
"",Protective Life Insurance,Insurance,Insurance policies & Annuities,50001,100000,0,Y,,
"",Minden Mini Storage LLC,Unknown,,50001,100000,0,Y,,
"",Fleming World Headquarters LLC,Real Estate,,50001,100000,0,Y,,
"",Blackrock Global Allocation Fund,Securities/Invest,Mutual Fund,30002,100000,0,Y,,
"",Blackrock Eurofund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Washington Mutual Investors Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Regions Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",MBL Bank Checking Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Fleming Properties Springhill LLC,Real Estate,,15001,50000,0,Y,,
"",Brandon Properties LLC,Real Estate,,15001,50000,0,Y,,
"",Blackrock Pacific Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Blackrock Emerging Markets Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Income Fund of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Balanced Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",AllianceBernstein International Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Small Cap World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"","Rental Real Estate/Minden, Bossier City, Benton",Real Estate,,1001,15000,0,Y,,
"","Rental Real Estate/Kings Highway, Shreveport, LA",Real Estate,,1001,15000,0,Y,,
"","Rental Real Estate/Hearne Avenue, Shreveport, LA",Real Estate,,1001,15000,0,Y,,
"",Putnam Growth Opportunities Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Munder Growth Opportunities Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Minden Bancorp,Unknown,,1001,15000,0,Y,,
"",JP Morgan Checking Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Income Fund of America -R2,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Growth Fund of America -R2,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fleming Properties LLC/Flemto LLC,Real Estate,,1001,15000,0,Y,,
"",EuroPacific Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Equipment Rental,Unknown,,1001,15000,0,Y,,
"","Rental Real Estate/Eastridge, Shreveport, LA",Real Estate,,1,1000,0,Y,,
"",Prevention Publications,Unknown,,1,1000,0,Y,,
"",Navy Federal Credit Union Savings Account,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Invesco Technology Fund,Unknown,Mutual Fund,1,1000,0,Y,,
"",FIA Card Services RASP,Finance/Credit,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Checking Account,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",ATB Construction & Maintenance,Unknown,,1,1000,0,Y,,
