orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Capital One Bank Accounts,,"Brokerage, IRA, 401k",1000001,5000000,0,Y,,
"",Utah Educ Savings Plan Equity - 10 % Intl,,Mutual Fund,500001,1000000,0,Y,,
D000000094,Time Warner,TV/Movies/Music,,350002,750000,0,Y,Y,
D000000115,Microsoft Corp,,,250001,500000,0,Y,Y,
"",Gabelli Equity Income,,Mutual Fund,250001,500000,0,Y,,
"",Wells Fargo Absolute Ret Fund,,Mutual Fund,100001,250000,0,Y,,
"",Virtus Emerging Markets Oppurtunities Fund,,Mutual Fund,100001,250000,0,Y,,
"","Utah Educ Savings Plan Age-Based Moderate, 13-15",,Mutual Fund,100001,250000,0,Y,,
D000023662,Thermo Fisher Scientific,Misc Mfg/Distrib,,100001,250000,0,Y,Y,
D000000722,Texas Instruments,Electronics Mfg/Eqp,,100001,250000,0,Y,Y,
"",T Rowe Price Blue Chip Growth TRBCX,,Mutual Fund,100001,250000,0,Y,,
D000037610,Sirius XM Radio,TV/Movies/Music,,100001,250000,0,Y,Y,
"",Principal Funds Inc PCBIX,,Mutual Fund,100001,250000,0,Y,,
"",MFS Corporate Bond Fund,,Mutual Fund,100001,250000,0,Y,,
"",Gabelli Small Cap Growth,,Mutual Fund,100001,250000,0,Y,,
"",First Eagle Global Fund,,Mutual Fund,100001,250000,0,Y,,
"","Empowered Learning Institute of DC, LLC",Unknown,,100001,250000,0,Y,,
"",Eaton Vance Global Macro Absolute Return,,Mutual Fund,100001,250000,0,Y,,
"",Dodge & Cox FDS Int'l Stk Fd DODFX,,Mutual Fund,100001,250000,0,Y,,
"",Wells Fargo Bank Accounts,,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Vanguard Targe Retirement 2020 Trust II,,Mutual Fund,50001,100000,0,Y,,
"",Vanguard Small Cap Index Fund,,Mutual Fund,50001,100000,0,Y,,
"",Vanguard International Growth Fund,,Mutual Fund,50001,100000,0,Y,,
"",T Rowe Price Real Estate TRREX,,Mutual Fund,50001,100000,0,Y,,
"",AQR Managed Futures Strategy Fund,,Mutual Fund,50001,100000,0,Y,,
"",American Century Growth Fund,,Mutual Fund,50001,100000,0,Y,,
"",Wells Fargo Treasury Plus Money Market Fund,,Mutual Fund,15001,50000,0,Y,,
"",Prudential Jennison Natural Resources Fund,,,15001,50000,0,Y,,
"",Natixis Funds Trust II ASG Global Alternative Fund,,Mutual Fund,15001,50000,0,Y,,
D000069868,Lam Research,Electronics Mfg/Eqp,,15001,50000,0,Y,,
"",Hewlett Packard Enterprises,,,15001,50000,0,Y,,
"",Eaton Vance Income Fund of Boston,,Mutual Fund,15001,50000,0,Y,,
"",Charles Schwab Money Market Fund Account,,Mutual Fund,15001,50000,0,Y,,
"",BlackRock Emerging Mkt L/S BLSIX,,Mutual Fund,15001,50000,0,Y,,
"","1/8 Int. Cottage, Knocklong, Co. Limerick, Ireland",Real Estate,,15001,50000,0,Y,,
D000000878,Time Inc,Publishing,,0,15000,0,Y,Y,
"",Putnam Voyager Fund,,Mutual Fund,0,15000,0,Y,,
"",Putnam Multi-Cap Growth Fund,,Mutual Fund,0,15000,0,Y,,
"",Nokia,,,0,15000,0,Y,,
"",Hillenbrand,,,0,15000,0,Y,,
D000026480,Hill-Rom Holdings,Pharm/Health Prod,,0,15000,0,Y,Y,
D000000716,Hewlett-Packard,Electronics Mfg/Eqp,,0,15000,0,Y,,
