orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Windsor II Mutual Fund,,Mutual Fund,250001,500000,0,Y,,
"",Law Offices of Eng & Nishimura,Lawyers/Law Firms,,250001,500000,0,Y,,
"",Chase Bank/CD,,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",United Pacific Bank CD,,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Preferred Bank CD,,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",New Omni Bank CD,,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",East West Bank CD,,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Comerica Bank CD,,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Capital One CD,,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",California Teachers Retirement System,,"Brokerage, IRA, 401k",100001,250000,0,Y,,
"",CA Intermediate Term Bond Tax Exempt Mutual Fund,,Mutual Fund,100001,250000,0,Y,,
"",Wells Fargo Bank/Checking,,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",NuVision Federal Credit Union Savings Account,,"Brokerage, IRA, 401k",50001,100000,0,Y,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,50001,100000,0,Y,Y,Y
"",Annuity Amer Legacy US--Large Blend-Growth Income,,Insurance policies & Annuities,50001,100000,0,Y,,
"",Allstate,Unknown,,50001,100000,0,Y,,
D000000106,Morgan Stanley,Securities/Invest,Mutual Fund,15001,50000,0,Y,Y,
"",Mid-Cap Index Fund,,Mutual Fund,15001,50000,0,Y,,
D000018253,Discover Financial Services,Finance/Credit,,15001,50000,0,Y,Y,
"",Citibank IRA--Day to Day Savings Account,,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000020325,Citibank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Athene Annuity & Life Company Fixed Annuity,,Insurance policies & Annuities,15001,50000,0,Y,,
"",457 Short Term Investment Fund,,Mutual Fund,15001,50000,0,Y,,
"",457 Mid Cap Fund,,Mutual Fund,15001,50000,0,Y,,
"",457 Large Cap Fund,,Mutual Fund,15001,50000,0,Y,,
"",401K Small Cap Fund,,Mutual Fund,15001,50000,0,Y,,
"",401K Short Term Investment Fund,,Mutual Fund,15001,50000,0,Y,,
"",401K Mid Cap Fund,,Mutual Fund,15001,50000,0,Y,,
"",401K Large Cap Fund,,Mutual Fund,15001,50000,0,Y,,
"",S&P 500 Index Fund,,Mutual Fund,2002,30000,0,Y,,
"",S&P 500 Option,,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",1001,15000,0,Y,,
"",Misc Fixed-DWS High Income VIP,,Mutual Fund,1001,15000,0,Y,,
"",Life Insurance Co of the Southwest,,Insurance policies & Annuities,1001,15000,0,Y,,
D000042033,Lands' End,Retail Sales,,1001,15000,0,Y,,
"",Edward Jones/Cash,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Delaware VIP REIT,,Mutual Fund,1001,15000,0,Y,,
"",Delaware VIP Diversified Income,,Mutual Fund,1001,15000,0,Y,,
"",California Public Emplys Retirement System,,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Balanced- DWS Global Income Builder VIP,,Mutual Fund,1001,15000,0,Y,,
"",Annuity Amer Legacy US--Fixed,,Insurance policies & Annuities,1001,15000,0,Y,,
D000000157,American Airlines,Air Transport,,1001,15000,0,Y,,
"",457 Small Cap Fund,,Mutual Fund,1001,15000,0,Y,,
"",457 Short Term Investment Fund- Cash,,Mutual Fund,1001,15000,0,Y,,
"",457 Large Cap Index Fund,,Mutual Fund,1001,15000,0,Y,,
"",457 Large Cap,,Mutual Fund,1001,15000,0,Y,,
"",457 International Fund,,Mutual Fund,1001,15000,0,Y,,
"",403B--Large Cap U.S. Stock-DWS Cap Growth VA,,Mutual Fund,1001,15000,0,Y,,
"",401K Short Term Investment Fund- Cash,,Mutual Fund,1001,15000,0,Y,,
"",401K Large Cap Socially Responsible Fund,,Mutual Fund,1001,15000,0,Y,,
"",401K Large Cap Index Fund,,Mutual Fund,1001,15000,0,Y,,
"",401K International Fund,,Mutual Fund,1001,15000,0,Y,,
