orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Income Fund of America Fund,Unknown,Mutual Fund,18004,95000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Growth Fund of America,Unknown,Mutual Fund,3003,45000,0,Y,,
"",Capital World Growth Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Cap World Growth & Income Fund,Unknown,Mutual Fund,1002,16000,0,Y,,
"",Smal Cap World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000658,Pinnacle West Capital,Electric Utilities,Mutual Fund,1001,15000,0,Y,Y,
"",High Income Trust,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fund 20 Age Based,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Overseas Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Leveraged Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Europacific,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Euro Pacific,Unknown,Mutual Fund,1001,15000,0,Y,,
"",City of Omaha Pension 014,Unknown,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",Balanced,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Mutual Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Reserve Primary Fund,Unknown,Mutual Fund,2,2000,0,Y,,
"",Fund 60 Age Based,Unknown,Mutual Fund,2,2000,0,Y,,
"",Prime Fund Capital Reserves Money Market,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Fidelity New Insights Fund,Unknown,Mutual Fund,1,1000,0,Y,,
