orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Real Property,Real Estate,,50001,100000,0,Y,,
"",Gas Mineral Division,Unknown,Unknown,50001,100000,0,Y,,
"",American Funds New Perspective Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Virtus Premium,Unknown,Mutual Fund,1001,15000,0,Y,,
"",TXERS Plan 403A,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Small Cap World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Invesco Balanced Risk Allocation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fundamental Investors Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Columbia Strategy Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Capital World Growth Fund (529),Unknown,Mutual Fund,1001,15000,0,Y,,
"",Capital World Growth & Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Blackrock Real Asset Equity Trust,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Blackrock Global Allocation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",BBYA Compass,Commercial Banks,,1001,15000,0,Y,,
"",American Mutual Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds New World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds AMCAP Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
