orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Smith Tract LLC,Real Estate,,500001,1000000,0,O,,
"",Sanford Land Co,Real Estate,,500001,1000000,0,O,,
"",Cotton Hope LLC,Unknown,,500001,1000000,0,O,,
"",Blind John LLC,Real Estate,,250001,500000,0,O,,
"",509 King Street Residence,Real Estate,,250001,500000,0,O,,
"",Kings Plaza LLC,Real Estate,,100001,250000,0,O,,
"",Checking Account,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,O,,
"",Cash Investment account,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,O,,
"",Cash balance,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,O,,
"",84M Pre-2010,Real Estate,Unknown,100001,250000,0,O,,
"",SC Stable Value,Unknown,Mutual Fund,50001,100000,0,O,,
"",Big Tree Rd LLC,Real Estate,,50001,100000,0,O,,
"",307 Sea Island Parkway,Real Estate,,50001,100000,0,O,,
"",301 Sea Island Parkway,Real Estate,,50001,100000,0,O,,
"",84M Post 2009,Real Estate,Unknown,15001,50000,0,O,,
"",311B Sea Island Parkway,Real Estate,,15001,50000,0,O,,
"",2304 Pine Ct #75,Real Estate,,15001,50000,0,O,,
"",2304 Pine #10,Real Estate,,15001,50000,0,O,,
"",217 Rivers Street,Real Estate,,15001,50000,0,O,,
"",1813 Lovejoy Street,Real Estate,,15001,50000,0,O,,
"",18 Tailwind Trail,Real Estate,,15001,50000,0,O,,
"",14 Tailwind Trail,Real Estate,,15001,50000,0,O,,
D000000168,Southern Co,Electric Utilities,,1001,15000,0,O,Y,
"",ProShares UltraShort Lehman 20+ Year ETF,Unknown,Mutual Fund,1001,15000,0,O,,
"",Oak Ridge Drive,Unknown,,1001,15000,0,O,,
"",Future Scholar Fund,Unknown,Mutual Fund,1001,15000,0,O,,
"","82 Barnaby Bluff, Lot 160",Unknown,,1001,15000,0,O,,
"",509 King Street apartment,Real Estate,,1001,15000,0,O,,
"",311a Sea Island Parkway,Unknown,,1001,15000,0,O,,
"",311 Middle Street,Real Estate,,1001,15000,0,O,,
"",273 Keans Neck,Real Estate,,1001,15000,0,O,,
