orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Note receivable - Mike Kelly Hyundai,Unknown,Note/Note Receivable,1000001,5000000,0,Y,,
"",Claddagh Property LP,Real Estate,,1000001,5000000,0,Y,,
"",Mary H Phillips Residuary Trust,Unknown,"Brokerage, IRA, 401k",500001,1000000,0,Y,,
"",Vanguard Value Index ETF,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Vanguard Growth ETF,Unknown,Mutual Fund,250001,500000,0,Y,,
"",T Rowe Price Value Fd Inc Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Ishares JP Morgan USD Emrg Mkts Bond ETF,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Ishares Iboxx $ Invest,Unknown,Mutual Fund,250001,500000,0,Y,,
"",iShares Barclays Tips Bond ETF,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Athene Annuity & Life S&P 500,Unknown,Insurance policies & Annuities,250001,500000,0,Y,,
"",Washington MD Suburban San Dist,Unknown,Government Bond,100001,250000,0,Y,,
"",Vanguard Mid-Cap Value Index (VOE) ETF,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Mid-Cap Growth Index (VOT) ETF,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Mid Cap ETF,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Tampa Bay Water Fla A Regl Water Ref Bonds,Unknown,Government Bond,100001,250000,0,Y,,
"",T Rowe Price Growth Stock Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Prince George's County MD Cons Bonds,Unknown,Government Bond,100001,250000,0,Y,,
"",Pimco 0-5 Year High Yield Corp Bond Index Exchange,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Ohio Water Dev Auth Water Ref In Bonds,Unknown,Government Bond,100001,250000,0,Y,,
"",Ohio State Common Sch GO Bonds,Unknown,Government Bond,100001,250000,0,Y,,
"",North Carolina Estrn Muni PR Bonds,Unknown,Government Bond,100001,250000,0,Y,,
