orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","BankWest(Pierre, SD)/Checking",,Cash/Money Market/Savings/Checking,5000001,25000000,0,Y,,
"",Oahe Federal Credit Union Savings,,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",FRA LLC/Farm,,,100001,250000,0,Y,,
"",Personal Property/Aircraft ,,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",50001,100000,0,Y,,
"",Lake Sharpe Investments,Unknown,,50001,100000,0,Y,,
"",Vanguard World Vanguard Health Care,,,15001,50000,0,Y,,
"",Vanguard World Vanguard Finls ETF,,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Total International Bond ETF,,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Total Bond,,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Small-Cap ETF,,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Mid-Cap ETF,,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Information Technology ETF,,Mutual Fund,15001,50000,0,Y,,
"",Vanguard FTSE Emerging Markets ETF,,Mutual Fund,15001,50000,0,Y,,
"",Vanguard FTSE Developed Markets ETF,,Mutual Fund,15001,50000,0,Y,,
"",Nordic Venture Partners,Unknown,,15001,50000,0,Y,,
"",Locals Love Us Asset of Nordic Venture Partners,Unknown,,15001,50000,0,Y,,
"",JNK-SPDR Barclays High Yield Bond ETF,,Mutual Fund,15001,50000,0,Y,,
"",iShares Gold Trust,,Mutual Fund,15001,50000,0,Y,,
"",FNB-IRA,,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",First National Bank Savings,,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
"",Auto Owners Life Insurance Co,Automotive,Insurance policies & Annuities,2002,30000,0,Y,,
"",Vanguard World Vanguard Consumer Staples,,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Utilities ETF,,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Telecommunication Services ETF,,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Short-Term Infl-Prot Secs ETF,,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Short-Term Bond ETF,,Mutual Fund,1001,15000,0,Y,,
"",Vanguard REIT ETF,Real Estate,,1001,15000,0,Y,,
"",Vanguard Mortgage-Backed Securities ETF,,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Materials ETF,,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Industrials ETF,,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Global ex-US Real Estate ETF,,Mutual Fund,1001,15000,0,Y,,
"",Vanguard FTSE All-World ex-US Sm-Cp ETF,,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Energy Fund,Misc Energy,,1001,15000,0,Y,,
"",Vanguard Consumer Discretionary ETF,,Mutual Fund,1001,15000,0,Y,,
"",Transamerica Financial Money Market Account,,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Prudential Guaranteed Interest Account,,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Novita LLC,Oil & Gas,,1001,15000,0,Y,,
"",Nationwide Retirement Solutions,,,1001,15000,0,Y,,
"",First National Bank Checking,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Fashion Audio LLC,Unknown,,1001,15000,0,Y,,
"",Bird Dog LLU,,Mutual Fund,1001,15000,0,Y,,
"",Badlands Manufacturing LLC,Unknown,,1001,15000,0,Y,,
"",Aeronics Co,,,1001,15000,0,Y,,
"",Vanguard Total International Stock Fund,,Mutual Fund,0,1000,0,Y,,
"",Vanguard Total Bond Market Index Fund,,Government Bond,0,1000,0,Y,,
"",Vanguard Institutional Index,,Mutual Fund,0,1000,0,Y,,
"",Vanguard Extended Market Index Fund,,Mutual Fund,0,1000,0,Y,,
"",TransAmerica Retirement Solutions,Securities/Invest,"Brokerage, IRA, 401k",0,1000,0,Y,,
"",Hawk Leasing LLC,Unknown,,0,1000,0,Y,,
"",Hartford Mutual Funds-IRA,,"Brokerage, IRA, 401k",0,1000,0,Y,,
"",Growth Opportunity Fund,,Mutual Fund,0,1000,0,Y,,
"",Franklin MSF Mut Shrs Z,,Mutual Fund,0,1000,0,Y,,
"","Fischer, Rounds & Assoc",Insurance,Insurance policies & Annuities,0,1000,0,Y,,
"",Allstate Corp,,Insurance policies & Annuities,0,1000,0,Y,,
