orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Board of Ed Bond,Unknown,Government Bond,51002,115000,0,Y,,
"",Sunoco Logistics Partners,Unknown,,50001,100000,0,Y,,
"",Olsen Chiropractic,Health Professionals,,50001,100000,0,Y,,
"",California EDL GACS Auth College & Univ,Unknown,Government Bond,50001,100000,0,Y,,
"",Duke Energy Corp,Unknown,,17003,80000,0,Y,,
"",TD Bank USA FDIC Insured Deposit Account,Unknown,Cash/Money Market/Savings/Checking,16002,65000,0,Y,,
"",Retirement Systems of Alabama,Unknown,"Brokerage, IRA, 401k",16002,65000,0,Y,,
D000000819,WP Carey & Co,Real Estate,,15001,50000,0,Y,,
D000000079,Verizon Communications,Telephone Utilities,,15001,50000,0,Y,Y,Y
"",Universal Health Realty Income Trust,Real Estate,,15001,50000,0,Y,,
"",Team Capital Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Royce Global Value Fund Consultant Class,Unknown,Mutual Fund,15001,50000,0,Y,,
"",RFDG WTS,Unknown,,15001,50000,0,Y,,
"",Redstone Fed Credit Union Savings A/C,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",DNP Select Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000025111,Consolidated Edison Inc,Electric Utilities,,15001,50000,0,Y,Y,
D000023865,Alliance Resource Partners,Mining,,15001,50000,0,Y,,
"",Tobacco Settlement Finance Corp,Unknown,Mutual Fund,1001,15000,0,Y,,
"",RS Large Cap Alpha Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Royce Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Redwood Trust Co,Real Estate,,1001,15000,0,Y,,
"",Newcastle Investment Corp,Securities/Invest,,1001,15000,0,Y,,
"",New York Community Bancorp,Commercial Banks,,1001,15000,0,Y,,
"",Morgan Stanley Capital Trust,Unknown,,1001,15000,0,Y,,
"",Legg Mason Special Investment Trust Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Legg Mason Opportunity Trust,Unknown,Mutual Fund,1001,15000,0,Y,,
"",IMPAC Mortgage Holdings,Real Estate,,1001,15000,0,Y,,
"",Huntsville-Redstone Village Bonds,Unknown,Government Bond,1001,15000,0,Y,,
"",Hugoton Royalty Trust,Oil & Gas,,1001,15000,0,Y,,
"",Hospitality Properties Trust,Real Estate,,1001,15000,0,Y,,
"",Homewood Ala City Brd Ed Spl Tax Sch Wts,Unknown,Government Bond,1001,15000,0,Y,,
"",Highway Revenue Tolls,Unknown,Unknown,1001,15000,0,Y,,
"",Duke Capital Corp,Unknown,,1001,15000,0,Y,,
"",Dreyfus Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Dreufus Strategic Municipal Bond Fund St,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000071,CitiGroup Capital,Publishing,,1001,15000,0,Y,Y,
"",Citibank NA South Dakota Deposit Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000067523,Charles Schwab & Co,Securities/Invest,,1001,15000,0,Y,,
"",Blackrock Income Trust,Unknown,,1001,15000,0,Y,,
"",Arlington Asset Investment Corp,Securities/Invest,,1001,15000,0,Y,,
"",Anworth Mortgage,Real Estate,,1001,15000,0,Y,,
"",Amern Vlg Pub Edl Bldg A OID,Unknown,Unknown,1001,15000,0,Y,,
