orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Condominium/National Harbor,Real Estate,,250001,500000,0,Y,,
"",Condo/Old Town,Real Estate,,250001,500000,0,Y,,
"","1 Lot/Columbia, SC",Real Estate,,200002,500000,0,Y,,
"",River Towers,Real Estate,,100001,250000,0,Y,,
"","Residence/Dodge City, KS",Real Estate,,100001,250000,0,Y,,
D000021754,Apple Inc,Electronics Mfg/Eqp,,30002,100000,0,Y,Y,
D000068731,Petrochina Co,Oil & Gas,,15001,50000,0,Y,Y,
"",Monument Title Co,Real Estate,,15001,50000,0,Y,,
D000022099,Mastercard Inc,Finance/Credit,,15001,50000,0,Y,Y,
D000000303,Conocophillips,Oil & Gas,,15001,50000,0,Y,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,2002,30000,0,Y,Y,Y
D000000125,General Electric,Misc Mfg/Distrib,,2002,30000,0,Y,Y,
D000000212,Coca-Cola Co,Food & Beverage,,2002,30000,0,Y,Y,
D000000090,Bank of America,Commercial Banks,,2002,30000,0,Y,Y,
D000022330,Yahoo! Inc,Internet,,1001,15000,0,Y,Y,
D000043002,Vmware Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,,
D000022303,Valero Energy,Oil & Gas,,1001,15000,0,Y,Y,
"",Torray Mutual fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",TD Ameritrade Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000037780,Starbucks Corp,Food & Beverage,,1001,15000,0,Y,Y,
D000022247,Shaw Group,General Contractors,,1001,15000,0,Y,Y,
"",Sandisk Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,,
"",Research In Motion,Retail Sales,,1001,15000,0,Y,,
D000067115,Petroleo Brasileiro SA,Oil & Gas,,1001,15000,0,Y,,
D000000200,PepsiCo Inc,Food & Beverage,,1001,15000,0,Y,Y,
D000022153,Nyse Euronext,Securities/Invest,,1001,15000,0,Y,Y,Y
D000000103,JPMorgan Chase & Co,Commercial Banks,,1001,15000,0,Y,Y,
"",Garmin Ltd,Unknown,,1001,15000,0,Y,,
D000000182,Ford Motor Co,Automotive,,1001,15000,0,Y,Y,
D000000277,Fluor Corp,General Contractors,,1001,15000,0,Y,Y,
D000066662,Flextronics International,Electronics Mfg/Eqp,,1001,15000,0,Y,,
"",Eaton Vance Tax Managed Diversified Eq,Unknown,,1001,15000,0,Y,,
D000000477,Duke Energy,Electric Utilities,,1001,15000,0,Y,Y,
"",Dell Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,,
"",CVS/Caremark Corp,Retail Sales,,1001,15000,0,Y,,
D000000703,Costco Wholesale,Retail Sales,,1001,15000,0,Y,,
"",China Life Insurance,Insurance,,1001,15000,0,Y,,
"",China Eastern Airlines,Air Transport,,1001,15000,0,Y,,
D000000149,Bristol-Myers Squibb,Pharm/Health Prod,,1001,15000,0,Y,Y,Y
"",Blackstone Group LP,Unknown,,1001,15000,0,Y,,
D000024328,Best Buy,Retail Sales,,1001,15000,0,Y,Y,
"",Baidu.com,Internet,,1001,15000,0,Y,,
"",Atwood Oceanics,Unknown,,1001,15000,0,Y,,
D000000209,United Technologies,Defense Aerospace,,0,1000,0,Y,Y,
D000000804,Intel Corp,Electronics Mfg/Eqp,,0,1000,0,Y,Y,
D000026298,Great Plains Energy,Electric Utilities,,0,1000,0,Y,Y,
D000025623,Eaton Corp,Electronics Mfg/Eqp,,0,1000,0,Y,,
D000000408,Deere & Co,Agricultural Svcs,,0,1000,0,Y,Y,
D000059055,CB Richard Ellis,Real Estate,,0,1000,0,Y,,
"",Boston Scientific,Unknown,,0,1000,0,Y,,
D000000067,Altria Group,Tobacco,,0,1000,0,Y,Y,
