orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",5604 & 5606 Parkville Road,Real Estate,,100001,250000,0,Y,,
"",5596 & 5598 Parkville Road,Real Estate,,100001,250000,0,Y,,
"",2210 & 2212 Tupsfield Road,Real Estate,,100001,250000,0,Y,,
D000019642,Northwestern Mutual Life Insurance,Insurance,,50001,100000,0,Y,,
"",AmCap Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
D000036363,Ohio Savings Bank,Savings & Loans,Unknown,16002,65000,0,Y,,
"",New Economy Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",PERS Ohio,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Ohio Deferred Compensation,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",15001,50000,0,Y,,
"",Income Fund of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Washington Mutual Coverdell Educ IRA,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Robert W Baird Co,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Ohio Tuition Trust,Unknown,,1001,15000,0,Y,,
"",Limited Brands,Retail Sales,,1001,15000,0,Y,,
D000022674,Fifth Third Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
