orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Real Estate/Bowling Green, KY",Real Estate,,300002,600000,0,A,,
"",Vanguard Federal Money Market Fund,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,A,,
"","Real Estate/Destin, FL",Real Estate,,100001,250000,0,A,,
"",Rand Paul MD PSC,Health Professionals,,50001,100000,0,A,,
"",Vanguard Energy Fund,Misc Energy,,15001,50000,0,A,,
"",Vanguard Balance Index,Unknown,Mutual Fund,15001,50000,0,A,,
"",USAA Inv Trust,Unknown,Mutual Fund,15001,50000,0,A,,
"",Janus Retirement Contrarian,Unknown,"Brokerage, IRA, 401k",15001,50000,0,A,,
"",Gift College Plan 529 Moderate Growth,Unknown,Mutual Fund,3003,45000,0,A,,
"",Gift College Plan 529 Income Portfolio,Unknown,Mutual Fund,3003,45000,0,A,,
"",Gift College Plan 529 Growth Portfolio,Unknown,Mutual Fund,3003,45000,0,A,,
"",Vanguard Total Bond Market Index,Unknown,Mutual Fund,1001,15000,0,A,,
"",Vanguard Target Retirement 2030,Unknown,Mutual Fund,1001,15000,0,A,,
"",Vanguard 500 Index,Securities/Invest,Mutual Fund,1001,15000,0,A,,
"",Janus Retirement Government Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Janus Retirement Balance,Unknown,Mutual Fund,1001,15000,0,A,,
"",Janus Money Market Fund,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Janus Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Janus Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",American Century Global Gold Fund,Mining,,1001,15000,0,A,,
"",American Century Capitol Preservation MM,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
