orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Taylor Street Rental Property,Real Estate,,100001,250000,0,Y,,
"",7th St Rental Property,Real Estate,,100001,250000,0,Y,,
"",17th Avenue Rental Property,Real Estate,,100001,250000,0,Y,,
"",Vanguard Institutional Index,,Mutual Fund,50001,100000,0,Y,,
"",American Funds New Perspective Fund,,Mutual Fund,16002,65000,0,Y,,
"",Vanguard Total International Stock Index Fund,,Mutual Fund,15001,50000,0,Y,,
"",Vanguard Small Cap Index Fund,,Mutual Fund,15001,50000,0,Y,,
"",United Services Auto Assn,Unknown,,15001,50000,0,Y,,
"",Dodge & Cox Balanced Fund,,Mutual Fund,15001,50000,0,Y,,
"",DFA US Targeted Value Portfolio Fund,,Mutual Fund,15001,50000,0,Y,,
"",Dreyfus Basic S&P 500 Stock Index Fund,,Mutual Fund,2002,30000,0,Y,,
"",Wells Fargo Advantage Mid Cap Value,,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Target Retirement 2045 Fund,,Mutual Fund,1001,15000,0,Y,,
"",USAA Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",USAA Science & Technology Fund,,Mutual Fund,1001,15000,0,Y,,
"",Pacific Investment Fund Total Return Fund,,Mutual Fund,1001,15000,0,Y,,
"",PAC Common Founders,,,1001,15000,0,Y,,
"",Nationwide Investor Destinations Moderate Fund,,Mutual Fund,1001,15000,0,Y,,
"",Morgan Stanley Institutional Fund,,Mutual Fund,1001,15000,0,Y,,
"",Metropolitan West Funds Bond Fund,,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Contrafund Fund,,Mutual Fund,1001,15000,0,Y,,
"",Dodge & Cox Stock Fund,,Mutual Fund,1001,15000,0,Y,,
"",Dodge & Cox International Stock Fund,,Mutual Fund,1001,15000,0,Y,,
"",CRM Mid Cap Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",AMG TimesSquare Mid Cap Growth Fund Fund,,Mutual Fund,1001,15000,0,Y,,
"",American Funds Growth Fund of America,,Mutual Fund,1001,15000,0,Y,,
"",American Funds Europacific Growth Fund,,Mutual Fund,1001,15000,0,Y,,
