orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",O'Day Farmbrook Inc,Real Estate,,1000001,5000000,0,A,,
"","Brooks, Koch & Sorg",Lawyers/Law Firms,,251002,515000,0,A,,
"",O'Day Landman LLC,Mining,,100001,250000,0,A,,
"",Retirement Amercent Strat Alloc Mod Fund,Unknown,Mutual Fund,50001,100000,0,A,,
"",Castle Creek Investors LLC,Real Estate,,30002,100000,0,A,,
"",Retirement Vanguard St Federal Inv Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Retirement One America Money Market Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Retirement MFS Intl New Discovery Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Retirement Amerfds Fdamental Invs Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Retirement Amerfds Europac Growth Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",PIMCO Fds Pac Invt Mgmt Ser Total Return Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Mansfield Warehouse Investors I,Real Estate,,15001,50000,0,A,,
"",JP Morgan Tr I Intrepid Value Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Investment,Unknown,,15001,50000,0,A,,
"",Insurance Met Life Universal Life Insurance Policy,Unknown,Insurance policies & Annuities,15001,50000,0,A,,
"",Harbor Fund Cap Appreciation Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Artio Global Invt Fds Aberdeen Total Return Bd Fd,Unknown,Mutual Fund,15001,50000,0,A,,
"",TO Harris Investors,Securities/Invest,,1001,15000,0,A,,
"",Thornburg Invt Tr Invt Income Builder Fd,Unknown,Mutual Fund,1001,15000,0,A,,
"",Thornburg International Value Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Retirement Amercent VP Capital APP Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Retirement Amercent Strat Alloc Agg Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Retirement Amercent Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Pioneer Ser Tr I Pioneer Oak Ridge Small Cap Growt,Unknown,Mutual Fund,1001,15000,0,A,,
"",Pimco Fds Pac Invt Mgmt Ser-Commodity Real Return,Unknown,Mutual Fund,1001,15000,0,A,,
"",Oppenheimer International Bond Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Oppenheimer Developing Markets Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Neuberger Berman Alternative Fds - Long Short Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",MFS Ser Tr X Emerging Markets Debt Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Metropolitan West Fds Total Return Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Managers Funds Bond Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Mainstay Fund High Yield Corporate Bond Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",John Hancock Fd II Global Absolute Return Strategy,Unknown,Mutual Fund,1001,15000,0,A,,
"",Highland Long-Short Equity Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Heartland Group Income Value Plus Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Goldman Sachs Trust Finl Square Treas Instrs Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Eaton Vance Mutual Fds Trust Global Macro Abslt Re,Unknown,Mutual Fund,1001,15000,0,A,,
"",Cohen & Steer Rlty Shares Inc Fund,Unknown,,1001,15000,0,A,,
"",Business Investment,Unknown,,1001,15000,0,A,,
"",Broadview Fds Tr Opportunity Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Artisan Funds Inc Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",AQR Funds Managed Futures Strategy Fund,Unknown,Mutual Fund,1001,15000,0,A,,
