orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Variable Group Universal Life,Unknown,Insurance policies & Annuities,1000001,5000000,0,C,,
"",Real Estate Personal Residence,Real Estate,,1000001,5000000,0,C,,
"",Harbor Capital Appreciation Institutional,Unknown,Mutual Fund,350002,750000,0,C,,
"",iShares Russell 1000 Value Index,Unknown,Mutual Fund,200002,500000,0,C,,
"","Wells Fargo(Cornelius, NC) Money Market",Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,C,,
"",T Rowe Price Small-Cap Stock,Unknown,Mutual Fund,100001,250000,0,C,,
"",Rental Property,Real Estate,,100001,250000,0,C,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,100001,250000,0,C,Y,Y
"",Rental Property (50% ownership - TRT Holdings LLC),Real Estate,,100002,200000,0,C,,
"",T Rowe Price Instl Emerging Markets Eq,Unknown,Mutual Fund,65002,150000,0,C,,
"",PIMCO Low Duration Institutional,Unknown,Mutual Fund,65002,150000,0,C,,
"","Rental Property/3407 Redstone Rd/Charlotte, NC",Real Estate,,50001,100000,0,C,,
"","Rental Property Condo/Nashville, TN ",Real Estate,,50001,100000,0,C,,
"",Nuveen High Yield Municipal Bond Fund,Unknown,Mutual Fund,50001,100000,0,C,,
"",Eaton Vance Floating Rate I (NASDAQ),Unknown,Mutual Fund,50001,100000,0,C,,
"",Driehaus Active Income (NASDAQ),Unknown,Mutual Fund,50001,100000,0,C,,
"",Dodge & Cox International Fund,Misc Finance,Mutual Fund,50001,100000,0,C,,
"",Delaware Pooled International Equity Fund,Unknown,Mutual Fund,50001,100000,0,C,,
"",Aquesta Bank,Unknown,,50001,100000,0,C,,
"","Wells Fargo(Charlotte, North Carolina) Money Mkt",Unknown,Cash/Money Market/Savings/Checking,16002,65000,0,C,,
"",iShares Global Tech,Unknown,Mutual Fund,16002,65000,0,C,,
"",Wells Fargo Bank Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,C,,
"",Vanguard Intermediate Term Tax Exempt Fund,Unknown,Mutual Fund,15001,50000,0,C,,
"",SMDA Wells Fargo secured market deposit account,Unknown,"Brokerage, IRA, 401k",15001,50000,0,C,,
"",NC State Employees Pension Plan,Unknown,"Brokerage, IRA, 401k",15001,50000,0,C,,
"",Black Rock Fixed Income S unit,Unknown,Mutual Fund,15001,50000,0,C,,
"",Black Rock 100% Equity S unit,Unknown,Mutual Fund,15001,50000,0,C,,
"","Aquesta Bank(Cornelius, NC)/Savings",Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,C,,
"",Vanguard REIT Index,Real Estate,,2002,30000,0,C,,
"",NC Fixed Income Index Fund,Unknown,Mutual Fund,2002,30000,0,C,,
"",Credit Suisse Commodity Return Strategy Fund,Unknown,Mutual Fund,2002,30000,0,C,,
"",Actuant Corp,Misc Mfg/Distrib,,2002,30000,0,C,,
D000042127,Wolverine World Wide,Misc Mfg/Distrib,,1001,15000,0,C,Y,
"",West Pharmaceutical Services,Pharm/Health Prod,,1001,15000,0,C,,
D000058340,Volcano Corp,Pharm/Health Prod,,1001,15000,0,C,,
"",Vocera Communications,Telecom Svcs,,1001,15000,0,C,,
"",Vitamin Shoppe,Retail Sales,,1001,15000,0,C,,
"",Tumi Holdings,Unknown,,1001,15000,0,C,,
"",Treehouse Foods,Food Process/Sales,,1001,15000,0,C,,
D000042783,Toro Co,Misc Mfg/Distrib,,1001,15000,0,C,,
"",Texas Roadhouse,Food & Beverage,,1001,15000,0,C,,
D000065125,Texas Capital BancShares,Commercial Banks,,1001,15000,0,C,Y,
"",Techne Corp,Pharm/Health Prod,,1001,15000,0,C,,
"",Tangoe Inc,Unknown,,1001,15000,0,C,,
D000059619,Stifel Financial,Securities/Invest,,1001,15000,0,C,Y,
"",Steven Madden Ltd,Retail Sales,,1001,15000,0,C,,
"",Steel Dynamics Inc,Steel Production,,1001,15000,0,C,,
"",SPS Commerce Inc,Unknown,,1001,15000,0,C,,
"",SolarWinds Inc,Electronics Mfg/Eqp,,1001,15000,0,C,,
D000067767,Sensient Technologies,Misc Mfg/Distrib,,1001,15000,0,C,,
D000056605,Semtech Corp,Electronics Mfg/Eqp,,1001,15000,0,C,Y,
"",Rofin-Sinar Technologies,Unknown,,1001,15000,0,C,,
"",Roadrunner Transportation Systems,Unknown,,1001,15000,0,C,,
"",Ritchie Brothers Auctioneers,Retail Sales,,1001,15000,0,C,,
"",Regal Beloit Corp,Misc Mfg/Distrib,,1001,15000,0,C,,
D000044234,RealPage Inc,Electronics Mfg/Eqp,,1001,15000,0,C,,
"",RBC Bearings,Unknown,,1001,15000,0,C,,
"",Raven Industries,Chemicals,,1001,15000,0,C,,
"",Quaker Chemical,Unknown,,1001,15000,0,C,,
"",Qlik Technologies,Electronics Mfg/Eqp,,1001,15000,0,C,,
"",Proto Labs,Unknown,,1001,15000,0,C,,
D000044256,Progress Software,Electronics Mfg/Eqp,,1001,15000,0,C,,
"",ProAssurance Corp,Insurance,,1001,15000,0,C,,
D000067141,Primoris Services Corp,Unknown,,1001,15000,0,C,,Y
"",Prestige Brands Holdings,Unknown,,1001,15000,0,C,,
"",Power Integrations Inc,Electric Utilities,,1001,15000,0,C,,
"",Portfolio Recovery Assocs,Unknown,,1001,15000,0,C,,
"",Popeyes Louisiana Kitchen,Unknown,,1001,15000,0,C,,
"",Plantronics Inc,Electronics Mfg/Eqp,,1001,15000,0,C,,
D000042313,Pier 1 Imports,Retail Sales,,1001,15000,0,C,,
"",Pebblebrook Hotel Trust,Lodging/Tourism,,1001,15000,0,C,,
"",NICE Systems,Unknown,,1001,15000,0,C,,
"",NeuStar Inc,Electronics Mfg/Eqp,,1001,15000,0,C,,
"",NC Stable Value 401K Fund,Unknown,Mutual Fund,1001,15000,0,C,,
"",NC SMID Value Fund,Unknown,Mutual Fund,1001,15000,0,C,,
