orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Bank of America/Checking,Commercial Banks,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",MFB Northern High Yield Fixed Income Fund,Unknown,Mutual Fund,4004,60000,0,Y,,
"",Northern Trust/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",MFB Northern Funds Global Tactical Asset Allocatio,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Centennial IRA -- CD,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Cash & Money Market Fund,Unknown,Cash/Money Market/Savings/Checking,2002,31000,0,Y,,
"",MFO DFA Invt Dimensions Group,Real Estate,,2002,30000,0,Y,,
"",MFB Northern Intl Equity Index Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Roth IRA MFO DFA Invt Dimensions Group,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Rollover IRA MFO DFA Invt Dimensions Group Inc US,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Northern Trust account MFB Northern Fds Str Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",MFO Oppenheimer Developing Markets Funds Class 1,Unknown,Mutual Fund,1001,15000,0,Y,,
"",MFO Causeway Cap Mgmt Tr Intl Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",MFB Northern Mid Cap Index Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",MFB Northern Funds Tax Exempt Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",DFA US Small Cap Portfolio,Unknown,Mutual Fund,1001,15000,0,Y,,
"",MFC Flexshares Tr Morningstar Global Upstream Nati,Unknown,Mutual Fund,0,2000,0,Y,,
"",MFB Northern Multi-Manager Intl Equity Fund,Unknown,Mutual Fund,0,1000,0,Y,,
