orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",VB Pointe West LLC,Real Estate,,5000001,25000000,0,Y,,
"",VB Motor Yachts,Misc Transport,,5000001,25000000,0,Y,,
"",Tax Exempt Money Market,Unknown,Cash/Money Market/Savings/Checking,5000001,25000000,0,Y,,
"",Silver Creek Low Vol Strategies II LP,Securities/Invest,,5000001,25000000,0,Y,,
D000037377,Sarasota Ford,Automotive,,5000001,25000000,0,Y,,Y
"",Jamatt Properties,Real Estate,,5000001,25000000,0,Y,,
"",Aspen House,Unknown,,5000001,25000000,0,Y,,
"",Aircraft Holding & Leasing LLC,Air Transport,,5000001,25000000,0,Y,,
"","600 LC/Cocoa, FL",Automotive,,5000001,25000000,0,Y,,
"",1299 LC,Automotive,,5000001,25000000,0,Y,,
"",Tampa Real Estate One LLC,Unknown,Note/Note Receivable,1000001,5000000,0,Y,,
"",SunCoast Ford,Automotive,,1000001,5000000,0,Y,,
"",Speedwing Investments,Real Estate,,1000001,5000000,0,Y,,
"",Silver Creek Early Advantage Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Sarasota-Bradenton Aviation,Air Transport,,1000001,5000000,0,Y,,
"",Sarasota 500 LLC,Automotive,Note/Note Receivable,1000001,5000000,0,Y,,
"",Marshall Tax Free MMF,Unknown,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",Lyncal Multi Mgr Fund QP,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"","Loan/Sam Kazran, Premier Kia",Unknown,Note/Note Receivable,1000001,5000000,0,Y,,
"",High Aspen Florida LLC,Real Estate,,1000001,5000000,0,Y,,
"",Greater Atlantic Holding,Commercial Banks,,1000001,5000000,0,Y,,
"",Gamble Oaks LLC,Unknown,Note/Note Receivable,1000001,5000000,0,Y,,
"",Five Points Residential Investments,Real Estate,,1000001,5000000,0,Y,,
"",Ellenton Edge LLC,Real Estate,,1000001,5000000,0,Y,,
"",Elizabeth City LLC,Automotive,,1000001,5000000,0,Y,,
"",Country Club Shores LLC,Real Estate,,1000001,5000000,0,Y,,
"",Cortez Landings LLC,Real Estate,,1000001,5000000,0,Y,,
"","Cattlemen Road Property/Sarasota, FL",Real Estate,,1000001,5000000,0,Y,,
"",Boca Grande Real Estate Interest,Real Estate,,1000001,5000000,0,Y,,
"",AP Opportunities Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Abbey Capital ACL ALT Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",6430 Hollywood Blvd LLC,Real Estate,,1000001,5000000,0,Y,,
"",130 North Tamiami Trail LLC,Real Estate,,1000001,5000000,0,Y,,
"",Ridgeworth US Secs Money Market,Unknown,Cash/Money Market/Savings/Checking,530003,1100000,0,Y,,
"",Ridgeworth Tax Ex MM,Unknown,Mutual Fund,500001,1000000,0,Y,,
"","Orange Park LLC/Mortgage/Mill Creek, Tampa, Delray",Real Estate,,500001,1000000,0,Y,,
"","Loan/Sam Kazran, Premier Dodge",Unknown,Note/Note Receivable,500001,1000000,0,Y,,
"",Jamat Moonngs LLC,Unknown,,500001,1000000,0,Y,,
"",Georgetown Properties LLC,Real Estate,,500001,1000000,0,Y,,
"",Cash Account,Unknown,Cash/Money Market/Savings/Checking,500001,1000000,0,Y,,
