orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Pacific Life Annuity,Unknown,Insurance policies & Annuities,250001,500000,0,Y,,
"",Southwood Properties,Real Estate,,100001,250000,0,Y,,
"",American Century Growth,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Western Asset Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",T Rowe Price Eqty Inc Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Glenmede Phil International Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Dreyfus Emerging Markets Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Western Asset Govt Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Loomis Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Baron Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Century International BD,Unknown,Mutual Fund,1001,15000,0,Y,,
D000037015,Regions Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
