orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",California Legislative Retirement System,Unknown,"Brokerage, IRA, 401k",100001,250000,0,Y,,
"",Research In Motion,Retail Sales,,15001,50000,0,Y,,
D000021148,Chevron USA,Oil & Gas,,15001,50000,0,Y,,
"",Wells Fargo Bank Doolittle Family Trust,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
D000042780,TiVo Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000000094,Time Warner,TV/Movies/Music,,1001,15000,0,Y,Y,
D000046082,Teppco Crude Oil,Oil & Gas,,1001,15000,0,Y,Y,
D000037610,Sirius XM Radio,TV/Movies/Music,,1001,15000,0,Y,Y,
D000000200,PepsiCo Inc,Food & Beverage,,1001,15000,0,Y,Y,
D000028048,Novamed Inc,Health Services,,1001,15000,0,Y,,
D000036243,Nordstrom Inc,Retail Sales,,1001,15000,0,Y,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000042696,Krispy Kreme Doughnuts,Food Process/Sales,,1001,15000,0,Y,,
"",Kohls Corp,Retail Sales,,1001,15000,0,Y,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,Y
"",Folsom Lake Bank,Commercial Banks,,1001,15000,0,Y,,
"",Congressional FCU Account,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000024099,Applied Materials Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Schwab Cash Fund/Money Market,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"","Oil, gas & mineral rights/Vernal, UT",Misc Energy,,1,1000,0,Y,,
