orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000067959,Harman International Industries,Electronics Mfg/Eqp,,32050005,85100000,0,Y,,
"",UBS Select Prime Institutional Fund,Unknown,Mutual Fund,7101005,35265000,0,Y,,
"",Sail Pacific Explorer Fund LLC,Unknown,,1500002,6000000,0,Y,,
"",UBS RMA Tax Free Fund,Unknown,Mutual Fund,1250002,5500000,0,Y,,
"","East Bay, CA Mud Wastewater System Bond",Unknown,Government Bond,1250002,5500000,0,Y,,
"","Fremont, CA Usd Alameda Bond",Unknown,Government Bond,1100002,5250000,0,Y,,
"",UBP Selectinvest Multistrategy LP,Unknown,,1000001,5000000,0,Y,,
"",Taconic Capital Partners,Securities/Invest,,1000001,5000000,0,Y,,
"",Satellite Multi-Strategy Access Fund,Unknown,Mutual Fund,1000001,5000000,0,Y,,
"",Santa Clara Vy CA Transn Sls Tax Rv Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"",San Francisco CA City & Co Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"","San Diego, CA Pub Facs Fin Au WTR Rv M",Unknown,Government Bond,1000001,5000000,0,Y,,
"","San Diego, CA Cmnty Fsa Bond",Unknown,Government Bond,1000001,5000000,0,Y,,
"","Sacramento, CA CFA Rev Ambac Bond",Unknown,Government Bond,1000001,5000000,0,Y,,
"",Puerto Rico Muni Financing Agency Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"",Pasadena Calif Uni Sch D 1st Fsa Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"",Oxnard Calif Fing Au Lease Ambac Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"",O'Connor Global Multi Strategy Alpha LP,Securities/Invest,,1000001,5000000,0,Y,,
"",Mojave Water Agency CA Impvt Dist Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"",Metropolitan Wtr Dis Sou Ser C Rev Bond,Unknown,Government Bond,1000001,5000000,0,Y,,
"",Media Rights Capital II,TV/Movies/Music,,1000001,5000000,0,Y,,
"",MAN-AHL Diversified I LP,Unknown,,1000001,5000000,0,Y,,
