orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Petersen-Hastings,Unknown,,500001,1000000,0,T,,
"",Deposit,,Cash/Money Market/Savings/Checking,151003,365000,0,T,,
"",Charles Schwab IRA,,"Brokerage, IRA, 401k",100001,250000,0,T,,
"",Small Cap,,Mutual Fund,50001,100000,0,T,,
D000022305,Vanguard Group,Securities/Invest,,15001,50000,0,T,Y,
"",Total Stock Index,,Mutual Fund,15001,50000,0,T,,
"",S&P Index,,Mutual Fund,15001,50000,0,T,,
"",Mataeni Pacific,Unknown,,15001,50000,0,T,,
"",Lee Cap Value III,,Mutual Fund,15001,50000,0,T,,
"",International Index,,Mutual Fund,15001,50000,0,T,,
"",Desposit Accounts,,Cash/Money Market/Savings/Checking,15001,50000,0,T,,
"",Total International Index,,Mutual Fund,1001,15000,0,T,,
"",CD,,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
