orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Partition Street property,Real Estate,,250001,500000,0,Y,,
"",Echo Hill Property,Real Estate,,100001,250000,0,Y,,
"",Oppenheimer Strategic Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Oppenheimer Global Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Ulster Savings Bank,Savings & Loans,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Prudential Franklin Mutual,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Prudential Evergreen Asset Allocation Fd,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Quest Balanced Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Main Street Small Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Main Street Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Cash Reserve Fund,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Oppenheimer Capital Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Key Bank Personal Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Fidelity New Insights Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Evergreen Asset Allocation,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Citibank South Dakota Bank Deposit Prog,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds AMCAP Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer International Growth Fund,Unknown,Mutual Fund,1,1000,0,Y,,
