orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Inglis Qualified Personal Residence Trst,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",250001,500000,0,Y,,
"",Fidelity Internal Bank,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity Equity Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Washington Mutual Investors Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Templeton Foreign Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Midcap Growth,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Scudder Val Ser Dreman High Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Putnam International Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Developing Markets Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",MFS Massachusetts Investors Growth Stock,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Lord Abbett Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Janus Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hotchkis & Wiley Mid Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Harbor Capital Appreciation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Small Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Equity Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Davis New York Venture Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Columbia Marisco Focused Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Century Income & Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",AllianceBernstein Large Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Templeton Devel Mkts Fund,Unknown,Mutual Fund,1,1000,0,Y,,
"",Federated Govt Obligations Money Market,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
