orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Spartan 500 Index Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",GMAC Bonds,Unknown,,15001,50000,0,A,,
D000020679,Ford Motor Credit Co,Finance/Credit,,15001,50000,0,A,,
"",Wright Patman Congressional FCU,Credit Unions,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
D000019743,Wells Fargo,Commercial Banks,,1001,15000,0,A,Y,
"",Primary Liquid Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Nokia Corp,Telecom Svcs,,1001,15000,0,A,,
"",Game Technology,Misc Mfg/Distrib,,1001,15000,0,A,,
"",Fidelity Short Term Bond Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Fidelity OTC Portfolio Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Fidelity Mid Cap Stock Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Fidelity Funds,Unknown,Mutual Fund,1001,15000,0,A,,
"",Fidelity Diversified International Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Fidelity Cash Reserves,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",Fidelity Aggressive Growth Fund,Unknown,Mutual Fund,1001,15000,0,A,,
D000022431,National City Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1,1000,0,A,Y,
