orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",House in Washington DC,Real Estate,,500001,1000000,0,Y,,
"",Levin Properties,Real Estate,,100001,250000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,100001,250000,0,Y,,
"","79 acres/Livingston County, MI",Real Estate,,100001,250000,0,Y,,
"",US Savings Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",National Capital Bank/C/D,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Fidelity Cash Reserve Fund,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"","18 acres/Livingston County, MI",Real Estate,,50001,100000,0,Y,,
"","10 acres, Livingston County, MI/Livin",Real Estate,,50001,100000,0,Y,,
"","FIDELITY Washington, DC/Money Market Account",Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds AMCAP Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000023733,ABIOMED Inc,Pharm/Health Prod,,15001,50000,0,Y,Y,
"",US Senate Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
