orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",US Treasury Notes,Unknown,Government Bond,250001,500000,0,Y,,
"",Prime Fund Daily Money,Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",John Hancock Regional Bank Fund,Commercial Banks,Mutual Fund,250001,500000,0,Y,,
"",Jefferson-Pilot Annuity,Unknown,Insurance policies & Annuities,250001,500000,0,Y,,
"",Wachovia Bank Account,Unknown,Cash/Money Market/Savings/Checking,200003,450000,0,Y,,
D000057962,Universal Display Corp,Electronics Mfg/Eqp,,101002,265000,0,Y,,
D000065005,Pozen Inc,Unknown,,101002,265000,0,Y,,
D000048514,Cepheid,Misc Mfg/Distrib,,101002,265000,0,Y,Y,
D000047819,Blackboard Inc,Unknown,,101002,265000,0,Y,,
"",JKO Properties,Real Estate,,100001,250000,0,Y,,
"",Financing Corp FICO Strips,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Felicity St Charles LLC,Real Estate,,100001,250000,0,Y,,
"",Congressional Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
D000024738,Chevy Chase Bank,Savings & Loans,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Allianz Global Investors Value Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
D000054859,Nuance Communications,Electronics Mfg/Eqp,,51002,115000,0,Y,,
"",TCW Total Return Bond Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
D000029206,Stericycle Inc,Waste Management,,50001,100000,0,Y,Y,
"",Pain Therapeutics,Pharm/Health Prod,,50001,100000,0,Y,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,50001,100000,0,Y,Y,
"",FPL Group,Electric Utilities,,50001,100000,0,Y,,
D000000129,Exxon Mobil,Oil & Gas,,50001,100000,0,Y,Y,
D000042642,Drugstore.Com,Internet,,50001,100000,0,Y,Y,
"",Diamond Hill Large Cap Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",American Cash Management Trust,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Allianz Nacm International,Unknown,,50001,100000,0,Y,,
D000058827,Zimmer Holdings,Pharm/Health Prod,,15001,50000,0,Y,Y,
D000000128,Walt Disney Co,TV/Movies/Music,,15001,50000,0,Y,Y,Y
D000029514,Trinity Industries,Railroads,,15001,50000,0,Y,,
"",Third Avenue Small Cap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000058904,Strayer Education,Education,,15001,50000,0,Y,,
"",Saul Centers,Real Estate,,15001,50000,0,Y,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,15001,50000,0,Y,Y,
"",Pioneer Cullen Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Oakmark International Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Metropolitan West Total Return Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Marsico Global Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,15001,50000,0,Y,Y,
"",iShares Iboxx Invest Grade Corp Bond Fnd,Unknown,Mutual Fund,15001,50000,0,Y,,
D000052410,Iron Mountain,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000000419,Home Depot,Retail Sales,,15001,50000,0,Y,Y,
"",Haemonetics Corp,Pharm/Health Prod,,15001,50000,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,15001,50000,0,Y,Y,Y
"",Dodge & Cox Global Stock Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Cortex Pharmaceuticals,Pharm/Health Prod,,15001,50000,0,Y,,
"",Champlain Small Co,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Calamos Market Neutral Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000031719,Automatic Data Processing Inc,Business Services,,15001,50000,0,Y,Y,
"",Aston River Road Small Mid Cap,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Artio Total Return Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Artio International,Unknown,,15001,50000,0,Y,,
"",Aquila Three Peaks High Income,Unknown,Mutual Fund,15001,50000,0,Y,,
D000024099,Applied Materials Inc,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000021754,Apple Inc,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
"",Absolute Strategies Fund,Misc Finance,Mutual Fund,15001,50000,0,Y,,
"",Basin Water,Environmental Svcs,,1002,16000,0,Y,,
"",Vanguard Inflation Protection Sec Adm,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Federal Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Third Avenue Real Estate Value Fund,Real Estate,Mutual Fund,1001,15000,0,Y,,
"",PIMCO Commodity RealReturn Strategy Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",NASDAQ OMX Group,Securities/Invest,,1001,15000,0,Y,,
D000025813,First Commonwealth Financial,Commercial Banks,,1001,15000,0,Y,,
"",Daaher Corp,Unknown,,1001,15000,0,Y,,
D000032811,Compuware Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Cohen & Steers Quality REIT,Real Estate,Mutual Fund,1001,15000,0,Y,,
D000023867,Allied Capital,Securities/Invest,,1001,15000,0,Y,Y,
D000023775,AES Corp,Electric Utilities,,1001,15000,0,Y,Y,
D000000470,Washington Mutual,Savings & Loans,,1,1000,0,Y,Y,
