orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Citizens Bancshares,Commercial Banks,,1000001,5000000,0,Y,,
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"","Beaver Lodge Subvision, Wayne Co, KY",,Government Bond,1001,15000,0,Y,,
"",Bridge Builder Core Bond,,Government Bond,14238,14238,0,Y,,
"",Florida StateBoard of Education Bond,,Government Bond,12311,12311,0,Y,,
"","Houston, TX Comb Util Sys Rev",,Government Bond,12009,12009,0,Y,,
"",CA State Var Purpose GO Green Bond,,Government Bond,12004,12004,0,Y,,
"",Auburn University Al Gen Fee Rev Bond,,Government Bond,12004,12004,0,Y,,
"",KY Infra Revenue Waste & Drink Water Bond,,Government Bond,11886,11886,0,Y,,
"",KY Tpk Auth Econ Dev Rd Rev,,Government Bond,11760,11760,0,Y,,
"",KY Infra Aut Wastwatr,,Government Bond,11443,11443,0,Y,,
"",Bridge Builder Large Growth,,Mutual Fund,7150,7150,0,Y,,
"",Metropolitian West Total Return Bond,,Government Bond,6085,6085,0,Y,,
"",Bridge Builder Core Plus Bond,,Government Bond,6068,6068,0,Y,,
"",JPMorgan Short Duration Bond Fund,,Mutual Fund,5150,5150,0,Y,,
"",MFS International Value Fund,,Mutual Fund,5080,5080,0,Y,,
D000067823,Alphabet Inc,Internet,,4610,4610,0,Y,Y,Y
"",Dodge & Cox International Fund,Misc Finance,Mutual Fund,4340,4340,0,Y,,
"",T Rowe Price Dividend Growth Fund,,Mutual Fund,4096,4096,0,Y,,
"",Thornburg International Value Fund,,Mutual Fund,4044,4044,0,Y,,
"",Dodge & Cox Income Fund,,Mutual Fund,4044,4044,0,Y,,
"",MFS Value Fund,,Mutual Fund,4027,4027,0,Y,,
"",Hartford Dividend & Growth Fund,,Mutual Fund,4023,4023,0,Y,,
"",MFS International Growth Fund,,Mutual Fund,3121,3121,0,Y,,
"",Capital World Bond Fund,,Mutual Fund,3043,3043,0,Y,,
"",Loomis Sayles Inv Grade Bond,,Government Bond,2921,2921,0,Y,,
"",Dreyfus International Stock Fund,,Mutual Fund,2883,2883,0,Y,,
"",Columbia Mid Cap Value Fund,,Mutual Fund,2868,2868,0,Y,,
"",Voya Global Real Estate Fund,Securities/Invest,,2852,2852,0,Y,,
"",Franklin High Income,,Mutual Fund,2819,2819,0,Y,,
D000032432,Celgene Corp,Pharm/Health Prod,,2754,2754,0,Y,Y,
D000024879,Clorox Co,Chemicals,,2663,2663,0,Y,,Y
D000000348,UnitedHealth Group,Health Services,,2588,2588,0,Y,Y,
"",iShares Russell 1000 Growth Index Fund,,Mutual Fund,2586,2586,0,Y,,
D000035733,S&P Global,Misc Finance,,2563,2563,0,Y,Y,
"",Interncontinental Exchange,Unknown,,2562,2562,0,Y,,
D000000419,Home Depot,Retail Sales,,2512,2512,0,Y,Y,Y
D000030442,TJX Companies,Retail Sales,,2481,2481,0,Y,,
"",PN Financial Service Group,Unknown,,2478,2478,0,Y,,
D000031719,Automatic Data Processing Inc,Business Services,,2456,2456,0,Y,Y,
D000000703,Costco Wholesale,Retail Sales,,2422,2422,0,Y,,
D000025625,Ecolab Inc,Chemicals,,2401,2401,0,Y,Y,
"",Credit Suisse Comm Ret Strat Fund,,Mutual Fund,2358,2358,0,Y,,
D000031323,Adobe Systems,Electronics Mfg/Eqp,,2348,2348,0,Y,Y,
D000060098,Analog Devices Inc,Electronics Mfg/Eqp,,2323,2323,0,Y,,
D000022038,Illinois Tool Works,Misc Mfg/Distrib,,2317,2317,0,Y,Y,
D000000200,Pepsico Inc,Food & Beverage,,2298,2298,0,Y,Y,
D000000468,Estee Lauder Companies,Misc Mfg/Distrib,,2289,2289,0,Y,Y,
D000037780,Starbucks Corp,Food & Beverage,,2281,2281,0,Y,Y,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,2274,2274,0,Y,Y,
D000029689,Visa Inc,Finance/Credit,,2248,2248,0,Y,Y,
D000021754,Apple Inc,Electronics Mfg/Eqp,,2210,2210,0,Y,Y,
D000000128,Walt Disney Co,TV/Movies/Music,,2206,2206,0,Y,Y,
D000000786,Accenture,Business Services,,2194,2194,0,Y,Y,Y
D000068838,Amphenol Corp,Electronics Mfg/Eqp,,2193,2193,0,Y,,
D000068106,Under Armour Inc,Misc Mfg/Distrib,,2176,2176,0,Y,,
D000028426,PPG Industries,Chemicals,,2174,2174,0,Y,Y,
D000000275,Merck & Co,Pharm/Health Prod,,2165,2165,0,Y,Y,
