orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Delaware Trust Municipal Bond Fund,Unknown,Mutual Fund,250001,500000,0,A,,
"","4566 Parkside Drive/Kiawah Island, SC",Real Estate,,250001,500000,0,A,,
"","14 George Street/Dewey Beach, DE",Real Estate,,250001,500000,0,A,,
"",Evergreen Large Cap Equity Fund,Unknown,Mutual Fund,115002,300000,0,A,,
"",Vanguard Prime Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,A,,
"",T Rowe Price Variable Annuity,Unknown,Insurance policies & Annuities,100001,250000,0,A,,
"",Evergreen Core Bond Fund,Unknown,Mutual Fund,65002,150000,0,A,,
D000000125,General Electric,Misc Mfg/Distrib,,31003,115000,0,A,Y,Y
D000000284,Wyeth,Pharm/Health Prod,,30002,100000,0,A,Y,
"",Vanguard Health Care Fund,Hospitals/Nurs Homes,,50001,100000,0,A,,
"",MLM Index Fund Enhanced,Unknown,Mutual Fund,50001,100000,0,A,,
"",Legg Mason Capital Opportunity Fund,Unknown,Mutual Fund,50001,100000,0,A,,
"",Dodge & Cox Balanced Fund,Unknown,Mutual Fund,50001,100000,0,A,,
"",Cohen & Steers Realty Fund,Real Estate,Mutual Fund,50001,100000,0,A,,
D000000383,Abbott Laboratories,Pharm/Health Prod,,30002,100000,0,A,Y,
"","224A Justice Court/Washington, DC",Real Estate,,50001,100000,0,A,,
"",Wachovia PT Money Market,Unknown,Cash/Money Market/Savings/Checking,18004,95000,0,A,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,16002,65000,0,A,Y,
D000000091,BP,Oil & Gas,,4004,60000,0,A,Y,
D000000129,Exxon Mobil,Oil & Gas,,15002,51000,0,A,Y,
"",William Blair Small Cap Growth Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Weitz Partners Value Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Vanguard Intermediate Tax Exempt Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Vanguard Capital Value Fund,Unknown,Mutual Fund,15001,50000,0,A,,
D000022303,Valero Energy,Oil & Gas,,15001,50000,0,A,Y,
