orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Condo/Watauga County, NC",Real Estate,,250001,500000,0,Y,,
"",Wright Patman FCU/Savings,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Wachovia Cap Asset Management Account,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",MassMutual Insurance Transitions Select,Insurance,Insurance policies & Annuities,50001,100000,0,Y,,
"",MassMutual Insurance Transitions Annuity,Unknown,Insurance policies & Annuities,50001,100000,0,Y,,
"",MassMutual Insurance Flex Extra Annuity,Unknown,Insurance policies & Annuities,50001,100000,0,Y,,
"",Hartford Insurance Variable Annuity,Unknown,Insurance policies & Annuities,50001,100000,0,Y,,
"",BB&T Large Company Value Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"","78 acre farm/Henry County, VA",Crop Production,,50001,100000,0,Y,,
"",Davis New York Venture Fund,Securities/Invest,Mutual Fund,81718,81718,0,Y,,
"",BB&T Mid Cap Value Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",BB&T Mid Cap Growth Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Phoenix Life Insurance Annuity,Unknown,Insurance policies & Annuities,15001,50000,0,Y,,
"",Federated American Leaders Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Dreyfus Premier Worldwide Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",BB&T Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Bank of North Carolina,Commercial Banks,,15001,50000,0,Y,,
"",Bank of America/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Allianz Life Insurance Annuity,Unknown,Insurance policies & Annuities,15001,50000,0,Y,,
D000033613,Federated Kaufmann Fund,Unknown,Mutual Fund,48684,48684,0,Y,,
D000000174,Lehman Brothers,Securities/Invest,,18014,32013,0,Y,Y,
"",Savient Pharmaceuticals,Pharm/Health Prod,,16160,30159,0,Y,,
