orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","McKenna, Long & Aldridge Cash Balance Plan",Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",SSGA S&P 500 Index,Unknown,Mutual Fund,150002,350000,0,Y,,
"",DFA US Core Equity Fund,Unknown,Mutual Fund,151004,315000,0,Y,,
"",TIAA-CREF Whole Life,Unknown,Insurance policies & Annuities,100001,250000,0,Y,,
"",Vanguard Short-Term Investment Grade,Unknown,Mutual Fund,81004,215000,0,Y,,
"",Schwab Government Money Fund,Unknown,Mutual Fund,66003,165000,0,Y,,
"",DFA US Targeted Value Fund,Unknown,Mutual Fund,46004,165000,0,Y,,
"",DFA Selectively Hedged Global Fixed,Unknown,Mutual Fund,46004,165000,0,Y,,
"",DFA International Core Equity Fund,Unknown,Mutual Fund,46004,165000,0,Y,,
"",Pimco Total Return Fund,Unknown,Mutual Fund,65002,150000,0,Y,,
"",Blackrock Treasury Trust Fund,Unknown,Mutual Fund,65002,150000,0,Y,,
"",AM Funds EuroPacific Growth,Unknown,Mutual Fund,65002,150000,0,Y,,
"",Goldman Sachs Small Cap Value Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",DFA Two Year Global Fixed,Unknown,Mutual Fund,18004,95000,0,Y,,
"",DFA Emerging Markets Core Equity Fund,Unknown,Mutual Fund,18004,95000,0,Y,,
"",DFA International Small Co,Unknown,Mutual Fund,4004,60000,0,Y,,
"",Wells Fargo Bank West,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000022104,"McKenna, Long & Aldridge",Lawyers/Law Firms,,15001,50000,0,Y,,Y
"",Vanguard Inflation Protected Securities,Unknown,Mutual Fund,3003,45000,0,Y,,
"",iShares 1-3 Year Treasury Bond ETF,Unknown,Mutual Fund,3003,45000,0,Y,,
"",DFA US Micro Cap,Unknown,Mutual Fund,3003,45000,0,Y,,
"",DFA Global Real Estate Securities,Real Estate,,3003,45000,0,Y,,
"",Ameritrade Money Market,Unknown,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
