orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Bank of America/Savings,Unknown,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",Say Pease II/IV LLC,Real Estate,,250001,500000,0,Y,,
D000000149,Bristol-Myers Squibb,Pharm/Health Prod,,250001,500000,0,Y,Y,
"",Scenera LLC,Electronics Mfg/Eqp,,100001,250000,0,Y,,
"",Say Pease LLC,Real Estate,,100001,250000,0,Y,,
"","Real Estate/Sarasota, FL",Real Estate,,100001,250000,0,Y,,
"","Real Estate/New York, NY",Real Estate,,100001,250000,0,Y,,
"",Federal Credit Union NOW/Savings,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",222 International Drive LP,Real Estate,,100001,250000,0,Y,,
D000000079,Verizon Communications,Telephone Utilities,,50001,100000,0,Y,Y,
"",Travelers Managed Asset Plan,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Real Estate/unimproved land,Real Estate,,50001,100000,0,Y,,
"",Neville Trust,Unknown,,50001,100000,0,Y,,
"",Meade Johnson,Unknown,,50001,100000,0,Y,,
"",Flashpoint Technology,Electronics Mfg/Eqp,,50001,100000,0,Y,,
D000000129,Exxon Mobil,Oil & Gas,,50001,100000,0,Y,Y,
"",AEA Mezzanine Fund,Securities/Invest,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",50001,100000,0,Y,,
"",395 Marlborough LLC,Real Estate,,50001,100000,0,Y,,
"",222 International LLC,Real Estate,,50001,100000,0,Y,,
"",180 International LLC,Real Estate,,50001,100000,0,Y,,
"",175 Purchase Street LLC,Real Estate,,50001,100000,0,Y,,
"",Virtual Homes LLC,Electronics Mfg/Eqp,,15001,50000,0,Y,,
"",Toronto Dominion Bank,Commercial Banks,,15001,50000,0,Y,,
D000029185,Staples Inc,Retail Sales,,15001,50000,0,Y,,
"",Say Pease VII LRC,Real Estate,,15001,50000,0,Y,,
D000000206,Occidental Petroleum,Oil & Gas,,15001,50000,0,Y,Y,
"",NH Retail LLC,Real Estate,,15001,50000,0,Y,,
D000000805,KeyCorp,Commercial Banks,,15001,50000,0,Y,Y,
D000000103,JPMorgan Chase & Co,Commercial Banks,,15001,50000,0,Y,Y,
D000026492,HJ Heinz Co,Food Process/Sales,,15001,50000,0,Y,Y,
"",GSC Recovery Fund IIA,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,15001,50000,0,Y,Y,
D000064191,Fairchild Semiconductor,Electronics Mfg/Eqp,,15001,50000,0,Y,,
"",Commonwealth Bank,Commercial Banks,,15001,50000,0,Y,,
"",Cll mutual fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000021891,Capital One Financial,Finance/Credit,,15001,50000,0,Y,Y,
D000000091,BP,Oil & Gas,,15001,50000,0,Y,Y,
"",Battery Venture Capital,Securities/Invest,,15001,50000,0,Y,,
"",Alderwood Group,Real Estate,,15001,50000,0,Y,,
"",AEA Middle Market Fund,Securities/Invest,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",15001,50000,0,Y,,
"",ICB Financial,Misc Finance,Unknown,2002,30000,0,Y,,
D000000155,General Motors,Automotive,,2002,30000,0,Y,Y,
"",Woodhaven LP,Securities/Invest,,1001,15000,0,Y,,
"",Woodhaven III LP,Securities/Invest,,1001,15000,0,Y,,
"",Towne Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",TBHS Bank,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000021677,SBC Communications,Telephone Utilities,,1001,15000,0,Y,,
D000064294,Reliant Resources,Electric Utilities,,1001,15000,0,Y,,
"",Regal Financial Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",RBC Raucher Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
"",Pixami Investors,Securities/Invest,,1001,15000,0,Y,,
"",Photran LLC,Telecom Svcs,,1001,15000,0,Y,,
D000000138,Pfizer Inc,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",Pan American Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Old Line BancShares,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",National Bankshares,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000022887,MONY Group,Insurance,,1001,15000,0,Y,,
D000000275,Merck & Co,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000000386,Johnson & Johnson,Pharm/Health Prod,,1001,15000,0,Y,Y,
D000000720,IBM Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000000716,Hewlett-Packard,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Gateway Financial Holdings,Misc Finance,Mutual Fund,1001,15000,0,Y,,
"",Gateway Bank,Commercial Banks,Unknown,1001,15000,0,Y,,
"",Fla Capital Group,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000021207,First Security Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",First NBC Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000025320,Delphi Automotive,Automotive,,1001,15000,0,Y,Y,
D000042633,Del Monte Foods,Food Process/Sales,,1001,15000,0,Y,Y,
D000025111,Consolidated Edison Inc,Electric Utilities,,1001,15000,0,Y,Y,
"",Commonwealth Bank,Commercial Banks,Unknown,1001,15000,0,Y,,
"",Coast Financial,Misc Finance,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000010,Citicorp,Unknown,,1001,15000,0,Y,,
"",California Oak State Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Breakaway Solutions,Unknown,,1001,15000,0,Y,,
"",Bladelogic Inc,Unknown,,1001,15000,0,Y,,
"",Bank of Virginia,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Bank of Choice,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000076,AT&T Inc,Telephone Utilities,,1001,15000,0,Y,Y,
D000019838,Agilent Technologies,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Temple West LLC,Real Estate,,0,1000,0,Y,,
"",Motor Liquid Inc,Unknown,,0,1000,0,Y,,
