orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000000209,United Technologies,Defense Aerospace,,1000001,1000001,1,Y,Y,
"","Vacation Prop/Hopetown, Abaco, Bahamas",Real Estate,,500001,1000000,0,Y,,
"",LPL Insured Cash Account,Unknown,Cash/Money Market/Savings/Checking,500001,1000000,0,Y,,
"",ING American Funds Growth-Income Port,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",ING American Funds Growth Port,Unknown,Mutual Fund,500001,1000000,0,Y,,
D000000303,ConocoPhillips,Oil & Gas,,500001,1000000,0,Y,Y,
"",SPDR DJ Large Cap Growth,Unknown,Mutual Fund,265002,550000,0,Y,,
"",Western Asset Inst Muni Money Market,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Virginia Res Auth Infrastruc Rev Bond,Unknown,Government Bond,200002,500000,0,Y,,
"","Fairfax County, VA Water Auth Rfdg Bond",Unknown,Government Bond,200002,500000,0,Y,,
"",Harbor Capital Appreciation Fund,Unknown,Mutual Fund,115002,300000,0,Y,,
"",American High Income Trust Fund,Unknown,Mutual Fund,115002,300000,0,Y,,
"",Virginia Commonwealth Transp Hwy Bond,Unknown,Government Bond,101002,265000,0,Y,,
"",iShares DJ US Energy Sector Index,Unknown,Mutual Fund,101002,265000,0,Y,,
"",American Beacon Large Cap Value Fund,Unknown,Mutual Fund,101002,265000,0,Y,,
"",Wisdomtree Trust Total Div Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Virtus Opportunities Trust,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Virginia Rfdg Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Virginia Res Auth Clean Water Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Virginia Ref B/E Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Virginia Pub Sch Auth Sch Fin Bonds,Unknown,Government Bond,100001,250000,0,Y,,
"",Virginia Pub Bldg Auth Pub Facs Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Virginia PSA School Fin 1997 Res Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Virginia Peninsula Regl Jail Authority,Unknown,Government Bond,100001,250000,0,Y,,
"",Virginia College Bldg Auth Edl Facs Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Vanguard Fixed Income Intermed Term Tr,Unknown,Mutual Fund,100001,250000,0,Y,,
"",University of VA Rev Rfdg General Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Templeton Global Growth Port,Unknown,Mutual Fund,100001,250000,0,Y,,
"","Stafford Cty & Staunton, VA IDA Muni",Unknown,Government Bond,100001,250000,0,Y,,
"",SPDR DJ Wilshire Mid Cap Growth,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Rydex Series Funds Sector Rotation,Unknown,Mutual Fund,100001,250000,0,Y,,
"","Richmond, VA Metro Auth Exprwy Bond",Unknown,Government Bond,100001,250000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Pimco All Asset All Auth Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"","Newport News, VA Gen Imprt & Wtr",Unknown,Government Bond,100001,250000,0,Y,,
"",Marisco Invt Growth Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",LPL Cash Insured Cash Account,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"","James City Cty, VA Econ Dvlpmt Bond",Unknown,Government Bond,100001,250000,0,Y,,
"",Ivy Asset Strategy Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",iShares Russell Mid Cap Value Index,Unknown,Mutual Fund,100001,250000,0,Y,,
"",iShares Russell 1000 Growth Index,Unknown,Mutual Fund,100001,250000,0,Y,,
"",iShares MSCI Emerging Markets Index,Unknown,Mutual Fund,100001,250000,0,Y,,
"",iShares MSCI EAFE Index,Unknown,Mutual Fund,100001,250000,0,Y,,
"",iShares Cohen & Steers Realty Majors,Real Estate,,100001,250000,0,Y,,
"",ING FMR SM Diversified Mid Cap,Unknown,Mutual Fund,100001,250000,0,Y,,
"","Henrico County, VA Public Impvt OID",Unknown,Government Bond,100001,250000,0,Y,,
"","Hanover County, VA RFDG Series Bond",Unknown,Government Bond,100001,250000,0,Y,,
"",Growth Fund of America,Unknown,Mutual Fund,100001,250000,0,Y,,
"","Fairfax County, VA Econ Dev Rte 28 Bond",Unknown,Government Bond,100001,250000,0,Y,,
"","Chesapeake, VA Rfdg Water & Sewer Bond",Unknown,Government Bond,100001,250000,0,Y,,
"","Chesapeake, VA Ref Pl CPN Bond",Unknown,Government Bond,100001,250000,0,Y,,
"",Capital World Growth & Income Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Capital Region Airport Series FSA Bond,Unknown,Government Bond,100001,250000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Artio International Equity Fund,Unknown,,100001,250000,0,Y,,
