orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Padre Co,Unknown,,250001,500000,0,Y,,
"",ONB Bank & Trust,Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Guaranty Abstract Tulsa,Real Estate,,250001,500000,0,Y,,
"","Commercial Real Estate/Tulsa, OK",Real Estate,,250001,500000,0,Y,,
"",Rental Property,Real Estate,,100001,250000,0,Y,,
"","Apartment/Contig to Residence/Wash, DC",Real Estate,,100001,250000,0,Y,,
"",Swan Note & Mortgage,Real Estate,,50001,100000,0,Y,,
"",Stillwater National Bank Account,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,50001,100000,0,Y,Y,
D000000206,Occidental Petroleum,Oil & Gas,,50001,100000,0,Y,Y,
D000022163,Novartis AG,Pharm/Health Prod,,50001,100000,0,Y,Y,
"",Morgan Stanley Discover,Unknown,Mutual Fund,50001,100000,0,Y,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,50001,100000,0,Y,Y,
D000033695,First State Bank,Commercial Banks,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,Y
"",Dean Witter Dividend Growth Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
D000025112,Constellation Brands,"Beer, Wine & Liquor",,50001,100000,0,Y,,
"",Arvest Bank & Trust Account,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
D000019258,Arch Coal,Mining,,50001,100000,0,Y,Y,
D000022330,Yahoo! Inc,Internet,,15001,50000,0,Y,Y,
D000022328,Wynn Resorts,Casinos/Gambling,,15001,50000,0,Y,,
D000068756,Suncor Energy,Oil & Gas,,15001,50000,0,Y,,
D000000794,Qualcomm Inc,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
"",Qlogic Corp,Unknown,,15001,50000,0,Y,,
D000000669,Principal Financial Group,Misc Finance,,15001,50000,0,Y,Y,
D000000200,PepsiCo Inc,Food & Beverage,,15001,50000,0,Y,Y,
D000020856,Peabody Energy,Mining,,15001,50000,0,Y,Y,
D000019639,Norfolk Southern,Railroads,,15001,50000,0,Y,Y,Y
"",NASDAQ Stock Market,Securities/Invest,,15001,50000,0,Y,,
"",Money Market Fund,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000022110,Medtronic Inc,Pharm/Health Prod,,15001,50000,0,Y,Y,
D000022008,Google Inc,Internet,,15001,50000,0,Y,Y,
D000000125,General Electric,Misc Mfg/Distrib,,15001,50000,0,Y,Y,Y
D000000182,Ford Motor Co,Automotive,,15001,50000,0,Y,Y,
D000000089,FedEx Corp,Air Transport,,15001,50000,0,Y,Y,
"",F&M Bank & Trust Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000019828,Emerson Electric,Misc Mfg/Distrib,,15001,50000,0,Y,Y,
"",Embraer,Air Transport,,15001,50000,0,Y,,
D000021970,eBay Inc,Internet,,15001,50000,0,Y,Y,
D000025483,Devon Energy,Oil & Gas,,15001,50000,0,Y,Y,Y
D000000303,ConocoPhillips,Oil & Gas,,15001,50000,0,Y,Y,
D000000071,Citigroup Inc,Commercial Banks,,15001,50000,0,Y,Y,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000021895,Carmax Inc,Automotive,,15001,50000,0,Y,,
D000048024,Brookfield Asset Management,Securities/Invest,,15001,50000,0,Y,,
D000000100,Boeing Co,Defense Aerospace,,15001,50000,0,Y,Y,Y
D000000195,BNSF Railway,Railroads,,15001,50000,0,Y,Y,
D000031718,Autodesk Inc,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000000076,AT&T Inc,Telephone Utilities,,15001,50000,0,Y,Y,Y
D000021754,Apple Inc,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000000391,Amgen Inc,Pharm/Health Prod,,15001,50000,0,Y,Y,Y
D000000123,American International Group,Insurance,,15001,50000,0,Y,Y,
D000000217,American Express,Finance/Credit,,15001,50000,0,Y,Y,
D000029695,Visteon Corp,Automotive,,1001,15000,0,Y,Y,
"",Dean Witter Discover,Unknown,,1001,15000,0,Y,,
D000000106,Dean Witter,Securities/Invest,,1001,15000,0,Y,Y,
"",Congressional FCU Account,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
"",Bank of Oklahoma Account,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
