orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Tax Sheltered Annuity,Unknown,Insurance policies & Annuities,500001,1000000,0,A,,
"",Optional Retirement,Unknown,Insurance policies & Annuities,100001,250000,0,A,,
"",Woodforest Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,A,,
"","Lot 4018 Charleston/Houston, TX",Real Estate,,50001,100000,0,A,,
"",Oppenheimer Developing Markets Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Invesco Balanced Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Invesco Balanced,Unknown,Mutual Fund,15001,50000,0,A,,
"",ING Strategic Alloc Moderate Port I,Unknown,Mutual Fund,15001,50000,0,A,,
"",Fidelity New Insights Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Chambers St Properties,Real Estate,Mutual Fund,15001,50000,0,A,,
"",Chambers St Properties,Real Estate,,15001,50000,0,A,,
"",Prudential Jennison Natural Resources Fund,Unknown,,2002,30000,0,A,,
"",Principal Funds High Yield Fund,Unknown,Mutual Fund,2002,30000,0,A,,
"",First Eagle Global Fund,Unknown,Mutual Fund,2002,30000,0,A,,
"",Wright Putman Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,A,,
"",United Energy Credit Union,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,A,,
D000000206,Occidental Petroleum,Oil & Gas,,1,1000,0,A,Y,
"",Capital Credit Union City of Houston Pension,Unknown,Insurance policies & Annuities,1,1000,0,A,,
