orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",AXA Equitable Deferred Annuity,Unknown,Insurance policies & Annuities,265002,550000,0,Y,,
"",Amtex Security,Business Services,,250001,500000,0,Y,,
"",AXA Equitable Life Insurance Policy,Unknown,Insurance policies & Annuities,100001,250000,0,Y,,
"",AmTrust Banks/CD,Unknown,Cash/Money Market/Savings/Checking,100002,200000,0,Y,,
"",Corus Bank/CD,Unknown,Cash/Money Market/Savings/Checking,65002,150000,0,Y,,
"","4601 Carmen Unit 2104/Rancho Viejo, TX",Real Estate,,50001,100000,0,Y,,
"",Congressional Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"","2104 Lago Viejo South/Rancho Viejo, TX",Real Estate,,15001,50000,0,Y,,
"","1011 Ennis Joslin/Corpus Christi, TX",Real Estate,,15001,50000,0,Y,,
"",Bank of America/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
