orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000000125,General Electric,Misc Mfg/Distrib,,15001,50000,0,Y,Y,Y
"",Fidelity Short Fixed Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Dodge & Cox Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PIMCO Commodity RealReturn Strategy Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Harbor International Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Goldman Sachs Money Market,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Franklin Dynatech Fund,Misc Finance,Mutual Fund,2002,30000,0,Y,,
"",Artio International,Unknown,,2002,30000,0,Y,,
"",WT Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Wells Fargo Small Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Wells Fargo Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000128,Walt Disney Co,TV/Movies/Music,,1001,15000,0,Y,Y,Y
D000030608,Unilever,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
"",Touchstone Inst Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000722,Texas Instruments,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Security Mid Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Royce Value Plus Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Pioneer Oak Small Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Pioneer Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Pioneer Cullen Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Pheonix Companies,Unknown,,1001,15000,0,Y,,
"",ParkAve Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Nuveen Tradewinds Funds,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Munder Mid Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Morgan JP Core Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",Managers Times Square Mid Cap Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Legg Mason Value Trust,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares Softward Index ETF,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hotchkis & Wiley Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Harbor Capital Appreciation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hancock Classic Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Evergreen Intrinsic Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Evergreen Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000025732,Evergreen Fund,Leadership PACs,Mutual Fund,1001,15000,0,Y,,
D000000468,Estee Lauder Companies,Misc Mfg/Distrib,,1001,15000,0,Y,Y,Y
"",Eaton Vance Boston Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Dodge & Cox International Stock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Diamond Hill Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Cohen & Steers Realty Fund,Real Estate,,1001,15000,0,Y,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Cambiar Opportunity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Blair Williams Funds International,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Blackrock International Opportunities Fd,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Black Rock Large Cap,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Artisan Fund Small Cap Value,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Century Vista Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Century Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Aim Global Real Estate Fund,Real Estate,,1001,15000,0,Y,,
