orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Walgreen Co,Retail Sales,,5000001,25000000,0,Y,,
D000045801,US Bank,Commercial Banks,,1000001,5000000,0,Y,,
D000053148,Lloyd's of London,Insurance,,1000001,5000000,0,Y,Y,
D000021757,Berkshire Hathaway,Securities/Invest,,1000001,5000000,0,Y,Y,Y
"",Wisconsin Retirement Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Oshkosh Co,Unknown,,250001,500000,0,Y,,
"",McGraw-Hill Companies,Publishing,,250001,500000,0,Y,,
"",Corning Corp,Unknown,,250001,500000,0,Y,,
D000067533,Washington Post,Publishing,,100001,250000,0,Y,,
"",Merrill Lynch Cash Equipment,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Marshall & Ilsley,Unknown,,100001,250000,0,Y,,
D000027367,Manitowoc Co,Building Materials,,100001,250000,0,Y,Y,Y
"",Integrys Energy,Electric Utilities,,100001,250000,0,Y,,
D000033644,Fidelity National Information Services,Electronics Mfg/Eqp,,100001,250000,0,Y,,
D000019828,Emerson Electric,Misc Mfg/Distrib,,100001,250000,0,Y,Y,
D000021970,eBay Inc,Internet,,100001,250000,0,Y,Y,
D000033033,Danaher Corp,Misc Mfg/Distrib,,100001,250000,0,Y,Y,
"",Piper Jaffray Companies,Securities/Invest,,50001,100000,0,Y,,
"",Evergreen International Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Aim Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Vanguard Charging Market Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",US Bank Trust Treat FD,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Rental Property/N 5327 De Nevov FDL,Real Estate,,15001,50000,0,Y,,
"",Eaton Vance Enhanced Equity Fund,Unknown,,15001,50000,0,Y,,
"",Northwest Mutual Life Annually,Unknown,,1001,15000,0,Y,,
"",Solomon Smith Branch,Unknown,Unknown,1,1000,0,Y,,
