orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Valic Small Cap Fund,,Mutual Fund,16002,65000,0,A,,
"",Valic Socially Resp Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Valic Mid Cap Index Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Valic Hybrid Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Valic Global International,Unknown,,15001,50000,0,Y,,
"",VALIC Fixed Income,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Valic Asset Alloc Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",TIAA Traditional Annuity,Unknown,Insurance policies & Annuities,15001,50000,0,A,,
"",TIAA Real Estate Fund,Real Estate,,15001,50000,0,A,,
"",TIAA Real Estate Account,Unknown,"Brokerage, IRA, 401k",15001,50000,0,A,,
"",Tiaa Guatanteed Traditional,Unknown,"Brokerage, IRA, 401k",15001,50000,0,A,,
"",TIAA CREF Equities,Unknown,Mutual Fund,15001,50000,0,A,,
"",CREF Stock Account,Unknown,Mutual Fund,15001,50000,0,A,,
"",CREF Growth Account,Unknown,Mutual Fund,15001,50000,0,A,,
"",Cash,,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",Vanguard Lt Treasury,Unknown,Mutual Fund,1001,15000,0,A,,
"",Vanguard Lt Inv Grade,Unknown,Mutual Fund,1001,15000,0,A,,
"",Vanguard Long-Term Treasury Fund,,Mutual Fund,1001,15000,0,A,,
"",Vanguard LifeStrategy Moderate Growth Fund,,Mutual Fund,1001,15000,0,A,,
"",Vanguard LifeStrategy Growth Fund,,Mutual Fund,1001,15000,0,A,,
"",Vanguard Li Fmod,Unknown,Mutual Fund,1001,15000,0,A,,
"",Vanguard Li Fgro,Unknown,Mutual Fund,1001,15000,0,A,,
"",Valic Strategic Bond Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Valic Stock Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Valic Special,Unknown,,1001,15000,0,Y,,
"",Valic Social Awareness Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Valic Science & Tech Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Valic Mod Growth Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Valic International Equities Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Valic Govt Securities Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Valic Dividend Value Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Valic Core Equity Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Valic Aggressive Growth Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",TIAA Personal Annuity Award Fixed,Unknown,Insurance policies & Annuities,1001,15000,0,A,,
"",Tiaa Personal Annuity Account,Unknown,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",TIAA Access Mid-Cap Growth,Unknown,Mutual Fund,1001,15000,0,A,,
"",CREF Social Choice Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",CREF Social Choice Account,,Mutual Fund,1001,15000,0,A,,
"",CREF Inflation-Linked Bond Account,,Mutual Fund,1001,15000,0,A,,
"",CREF Global Equities Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Cref Fixed Income,Unknown,Mutual Fund,1001,15000,0,A,,
"",CREF Bond Market Account,Unknown,Mutual Fund,1001,15000,0,A,,
"",Valic Money Market Fund,Unknown,Mutual Fund,0,1000,0,A,,
"",Valic International Govt Bond Fund,Unknown,Mutual Fund,0,1000,0,A,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,0,1000,0,A,Y,
"",CREF Equity Index Account,,Mutual Fund,0,1000,0,A,,
