orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Ministerial Pension Plan,Unknown,"Brokerage, IRA, 401k",153711,153711,0,T,,
"",Ark Diamond Deferred Compensation,Unknown,"Brokerage, IRA, 401k",50001,100000,0,T,,
"",United Methodist Personal Invst Plan,Unknown,"Brokerage, IRA, 401k",99447,99447,0,T,,
"",McGhee Bank IRA,Unknown,"Brokerage, IRA, 401k",56062,56062,0,T,,
"",Vanguard Total Stock Market Index,Unknown,Mutual Fund,44839,44839,0,T,,
"",Vanguard Admiral Treasury Money Market,Unknown,Cash/Money Market/Savings/Checking,29412,29412,0,T,,
"",Janus Venture Fund,Unknown,Mutual Fund,28004,28004,0,T,,
"",Invesco European Growth,Unknown,Mutual Fund,21067,21067,0,T,,
"",DWS Latin Amer Equity,Unknown,Mutual Fund,19015,19015,0,T,,
"",Wells Fargo Emerg Market Equity,Unknown,Mutual Fund,18313,18313,0,T,,
"",Dreyfus Boston Small Mid Cap Growth Fund,Unknown,Mutual Fund,18267,18267,0,T,,
"",Clergy Retirement Security Fund,Unknown,Mutual Fund,8295,8295,0,T,,
"",Dreyfuss Liquid Assets,Unknown,Cash/Money Market/Savings/Checking,6325,6325,0,T,,
