orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Congressional Fed Credit Union Money Mar,Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Ginnie Mae bond,Real Estate,,53011,270000,0,Y,,
"",Deutsche Bk AG Mtn Bond,Unknown,Mutual Fund,65002,150000,0,Y,,
D000000205,Fannie Mae Bond,Real Estate,,32004,130000,0,Y,,
"",Park Central,Unknown,,50001,100000,0,Y,,
"",Nuveen Ca Div Adu Mun Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",National Rural Utils Coop Fin Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",Fidelity Convertible Securities Stock Fu,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Deutsche Bk AG London Bond,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Deutsche Bk AG Commdty Lkd Bond,Unknown,Mutual Fund,50001,100000,0,Y,,
"",CPN on S&P 500 Index,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Capital One Cap V,Unknown,,50001,100000,0,Y,,
"",Blackrock Cal Muni Trust,Unknown,Mutual Fund,50001,100000,0,Y,,
D000000090,Bank of America,Commercial Banks,,50001,100000,0,Y,Y,
"",Powershares ETF Dynamic,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Telefonos De Mexico SAP,Unknown,,15001,50000,0,Y,,
"",SPDR Gold Trust ETF,Mining,,15001,50000,0,Y,,
D000000785,Southwest Airlines,Air Transport,,15001,50000,0,Y,Y,
"",Pimco Foreign Institutional Shs Bond Fnd,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Nuveen Ca Insur Mun Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",National City Cap Tr II 6625,Unknown,,15001,50000,0,Y,,
"",Market Vectors ETF Tr Agribusiness ETF,Crop Production,,15001,50000,0,Y,,
"",Macquarie Global Infrastructure Total Rt,Unknown,Mutual Fund,15001,50000,0,Y,,
"",IShares Trust S&P Smallcap 600 Index Fd,Unknown,,15001,50000,0,Y,,
"",Fountains Apts Ltd CA Ltd,Unknown,,15001,50000,0,Y,,
"",First Tr Exchange Traded Fund,Unknown,,15001,50000,0,Y,,
"",Fidelity Cash Res,Unknown,,15001,50000,0,Y,,
"",Deutsche Bk AG NT Bond,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Deutsche Bk AG Mtn Ser Gold Bond,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Calamos Market Neutral Income,Unknown,Mutual Fund,15001,50000,0,Y,,
"",WisdomTree Pacific Ex-Japan Equity Inde,Unknown,,1001,15000,0,Y,,
D000029314,Synovus Financial Corp,Commercial Banks,,1001,15000,0,Y,,
"",Scottish Group Ltd Perpt,Unknown,,1001,15000,0,Y,,
"",Rydex ETF Tr S&P Equal Weight Technology,Unknown,,1001,15000,0,Y,,
"",Royal Bank Scotland Group,Unknown,,1001,15000,0,Y,,
"",Powershares Dynamic Midcap Growth,Unknown,,1001,15000,0,Y,,
"",Pimco Foreign Bond Unhedged,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Morgan Stanley DW Srmtns,Unknown,,1001,15000,0,Y,,
"",MBNA Corp Sr Mtn Be Fr Bond,Unknown,Government Bond,1001,15000,0,Y,,
"",Market Vectors Gold Mines,Unknown,,1001,15000,0,Y,,
"",Market Vectors ETF Tr Coal ETF,Unknown,,1001,15000,0,Y,,
"",Market Vectors ETF Tr Brazil Sm Cap ETF,Unknown,,1001,15000,0,Y,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",iShares MSCI South Korea,Unknown,,1001,15000,0,Y,,
"",iShares MSCI Chile,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares MSCI Brazil Index Fund,Unknown,,1001,15000,0,Y,,
"",iShares Inc MSCI Singapore,Unknown,,1001,15000,0,Y,,
"",iShares Inc MSCI Israel,Unknown,,1001,15000,0,Y,,
"",iShares FTSE Xinhua HK China 25 Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hovnanian K Enterprises,Unknown,,1001,15000,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
D000000163,Freddie Mac,Real Estate,,1001,15000,0,Y,,
"",First Tr Exchange Traded Fund II,Unknown,,1001,15000,0,Y,,
"",Fidelity Muncipal Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Fidelity Cash Reserves,Unknown,,1001,15000,0,Y,,
"",Deutsche Bk AG Alpha Sec Lkd Bond,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Deutsche Bank AG Mtn Bond,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Claymore/SWM Canadian Energy Income ETF,Unknown,,1001,15000,0,Y,,
"",Claymore EETF Tr 2,Unknown,,1001,15000,0,Y,,
