orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Studio Apartment,Real Estate,,1000001,5000000,0,Y,,
"",T Rowe Price Capital Appreciation,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Rabobank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",PowerShares ETF Wilder Hill Clean Energy,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000172,MetLife Inc,Insurance,,1001,15000,0,Y,Y,
"",Fidelity New Insights Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Dodge & Cox Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Capital World Bond Fund,Unknown,Government Bond,1001,15000,0,Y,,
"",Artio International Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Santa Barbara Bank & Trust,Commercial Banks,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
D000022042,ING Group,Insurance,,1,1000,0,Y,Y,
"",Financial Network Money Market,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
