orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Federal Thrift Savings Plan/G Fund,Unknown,Mutual Fund,343367,343367,0,Y,,
"",Federal Thrift Savings Plan/C Fund,Unknown,Mutual Fund,303987,303987,0,Y,,
"",Chicago condo,Real Estate,,290000,290000,0,A,,
"",Springfield residence,Real Estate,,260000,260000,0,A,,
"",Def Comp State of Illinois Vanguard Institutional,Unknown,"Brokerage, IRA, 401k",156125,156125,0,Y,,
"",Fidelity Select Biotechnology Portfolio,Pharm/Health Prod,,117079,117079,0,Y,,
"",Federal Thrift Savings Plan/S Fund,Unknown,Mutual Fund,115160,115160,0,Y,,
"",Credit Union One,Unknown,Cash/Money Market/Savings/Checking,100142,100142,0,Y,,
"",Fidelity Select Transportation,Unknown,Mutual Fund,90029,90029,0,Y,,
"",Fidelity Nasdaq Composite Index,Unknown,Mutual Fund,44977,44977,0,Y,,
"",Rydex ETF Guggenheim S&P 500 Equal Weight ETF,Unknown,Mutual Fund,41385,41385,0,Y,,
"",Congressional Federal Credit Union Account,Unknown,Cash/Money Market/Savings/Checking,28424,28424,0,Y,,
"",PowerShares S&P 500 Low Volatility ETF,Unknown,Mutual Fund,26078,26078,0,Y,,
"",2012 Ford Fusion,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",15521,15521,0,A,,
D000027373,Manulife Financial,Misc Finance,,10804,10804,0,Y,Y,
D000000138,Pfizer Inc,Pharm/Health Prod,,3831,3831,0,Y,Y,
"",1996 Ranger Truck,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",3257,3257,0,A,,
"",Government Affiars Specialists,Unknown,,0,1000,0,A,,
"",Cash,Unknown,Cash/Money Market/Savings/Checking,581,581,0,Y,,
"",RJD Fidelity,Unknown,Mutual Fund,435,435,0,Y,,
"",Fidelity Government Money Market,Unknown,Mutual Fund,324,324,0,Y,,
