orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",American Funds Investment Co of America,Unknown,Mutual Fund,115002,300000,0,T,,
"",Federal Thrift Savings Plan,Unknown,"Brokerage, IRA, 401k",101002,265000,0,T,,
"",Wright Patman FCU/Savings,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,T,,
"",Smith Barney Appreciation Fund,Unknown,Mutual Fund,100001,250000,0,T,,
"",First Federal Savings,Savings & Loans,Unknown,100001,250000,0,T,,
"",Fidelity Contrafund,Unknown,Mutual Fund,100001,250000,0,T,,
D000000129,Exxon Mobil,Oil & Gas,,100001,250000,0,T,Y,Y
"",MFS Total Return Fund,Unknown,Mutual Fund,65002,150000,0,T,,
"",PFCU/Savings,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,T,,
"",PFCU/Checking,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,T,,
D000000166,Eli Lilly & Co,Pharm/Health Prod,,50001,100000,0,T,Y,
"",Wright Patman FCU/Checking,Unknown,Cash/Money Market/Savings/Checking,16002,65000,0,T,,
"",US Savings Bonds,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,T,,
"",Treasury Cats,Unknown,Government Bond,15001,50000,0,T,,
"",Smith Barney Agressive Growth Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",MFS Multi Market Income Trust,Unknown,Mutual Fund,15001,50000,0,T,,
"",Managed Municipals Portfolio,Unknown,Mutual Fund,15001,50000,0,T,,
"",Managed High Income Portfolio,Unknown,Mutual Fund,15001,50000,0,T,,
"",ING Prime Rate Trust,Unknown,Unknown,15001,50000,0,T,,
"",Fidelity Investment Equity Income Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",BlackRock Opportunity Trust,Unknown,Mutual Fund,15001,50000,0,T,,
D000000099,BellSouth Corp,Telephone Utilities,,15001,50000,0,T,Y,Y
D000000573,American Electric Power,Electric Utilities,,15001,50000,0,T,Y,Y
"","70 Acres Clear Cut Pines/Latta, SC",Real Estate,,15001,50000,0,T,,
"","2535 Wedglea/Dallas, TX",Real Estate,,15001,50000,0,T,,
"","100 Acres of Clear Cut Pines/Latta, SC",Real Estate,,15001,50000,0,T,,
D000000367,Wal-Mart Stores,Retail Sales,,2002,30000,0,T,Y,Y
D000023157,Southtrust Corp,Commercial Banks,,1001,15000,0,T,,
"",Sonoco,Unknown,,1001,15000,0,T,,
D000000398,Progress Energy,Electric Utilities,,1001,15000,0,T,Y,
"",PFCU IRA Accounts,Unknown,"Brokerage, IRA, 401k",1001,15000,0,T,,
"",First Financial Holding,Misc Finance,,1001,15000,0,T,,
"",Fairfax City Bond,Unknown,Government Bond,1001,15000,0,T,,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,T,Y,
"","Arlington, VA Bond",Unknown,Government Bond,1001,15000,0,T,,
