orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Gillmor Financial Services,Misc Finance,,5000001,25000000,0,Y,,
"",Paul M Gillmor Co,Unknown,,250001,500000,0,Y,,
"",EZ Color,Unknown,Note/Note Receivable,250001,500000,0,Y,,
"",Vanguard Total Stock Market Index,Unknown,Mutual Fund,200003,450000,0,Y,,
"",Dodge & Cox Stock Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Charles Schwab Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Old Fort Bank account,Unknown,Cash/Money Market/Savings/Checking,50002,101000,0,Y,,
"",Vangaurd Total Stock Market Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Old Fort Bank IRA,Unknown,"Brokerage, IRA, 401k",30002,100000,0,Y,,
"",Ohio Public Employees Comp Program,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",50001,100000,0,Y,,
"",Gillmor Family LP,Unknown,,50001,100000,0,Y,,
D000021757,Berkshire Hathaway,Securities/Invest,,50001,100000,0,Y,Y,
D000066608,America Movil,Telecom Svcs,,50001,100000,0,Y,,
"",Vanguard Short Term Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",US Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Universal Electronics,Electronics Mfg/Eqp,,15001,50000,0,Y,,
"",T Rowe Price Funds,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Sprint Nextel,Telecom Svcs,,15001,50000,0,Y,,
D000028411,Popular Inc,Commercial Banks,,15001,50000,0,Y,Y,
D000028140,Omnicare Inc,Health Services,,15001,50000,0,Y,Y,
"",National Research Corp,Unknown,,15001,50000,0,Y,,
"",ICON Energy Fund,Misc Energy,,15001,50000,0,Y,,
"",Free I LLC,Unknown,,15001,50000,0,Y,,
"",First Service,Unknown,,15001,50000,0,Y,,
"",Emerald Bank,Commercial Banks,,15001,50000,0,Y,,
"",Comfort Systems,Unknown,,15001,50000,0,Y,,
D000000123,American International Group,Insurance,,15001,50000,0,Y,Y,
"",Wright Patman Congressional FCU,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Vanguard Prime Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000029141,Southwest Gas,Oil & Gas,,1001,15000,0,Y,Y,
D000028042,Northwest Natural Gas,Oil & Gas,,1001,15000,0,Y,,
D000051447,Graftech International,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
"",Fidelity Spartan Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",DeNovo Corp,Unknown,,1001,15000,0,Y,,
"",David Phillips Note,Unknown,Note/Note Receivable,1001,15000,0,Y,,
D000033692,First Solar,Misc Energy,,1,1000,0,Y,,
