orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Real Estate/Land Develop/Golf Resort,Real Estate,,5000001,25000000,0,T,,
"",Dairy & Beef Cattle,Livestock,,500001,1000000,0,T,,
"",Hermitage Lot 23B-undevelop/Tallahassee,Real Estate,,100001,250000,0,T,,
"",Fidelity Florida Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,T,,
"",Federal Farm Credit Bank Discount Notes,Agricultural Svcs,,100001,250000,0,T,,
"",Wachovia Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,T,,
"",Tiers Principal Mutual Fund Protected MM,Unknown,Mutual Fund,50001,100000,0,T,,
"","Sarasota, FL Water & Sewer System Bond",Unknown,Government Bond,50001,100000,0,T,,
"",MFC iShares Russell 1000 Fund,Unknown,Mutual Fund,50001,100000,0,T,,
"",MFB Northern Intl Growth Equity Fund,Unknown,Mutual Fund,50001,100000,0,T,,
"",MFB Northern Funds Money Market,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,T,,
"","Jacksonville, FL Excise Taxes Bond",Unknown,Government Bond,50001,100000,0,T,,
"",Illinois Ut G/O Bond,Unknown,Government Bond,50001,100000,0,T,,
"",Hillsborough County Fl Cmnty Invt Tax Bd,Unknown,Government Bond,50001,100000,0,T,,
"",Graham Companies 401k Profit Sharing Pln,Unknown,"Brokerage, IRA, 401k",50001,100000,0,T,,
"",First Florida Govt Fing Commn Rev Bond,Unknown,Government Bond,50001,100000,0,T,,
"","Dallas, TX Ut G/O ISD Bond",Unknown,Government Bond,50001,100000,0,T,,
D000000212,Coca-Cola Co,Food & Beverage,,50001,100000,0,T,Y,
"","Boca Raton, FL Community Revdev Bond",Unknown,Government Bond,50001,100000,0,T,,
"",BlackRock Insured Muni Term Trust,Unknown,Mutual Fund,50001,100000,0,T,,
"",Security Life of Denver Life Insurance,Unknown,Insurance policies & Annuities,16002,65000,0,T,,
"",UTS SPDR Trust,Unknown,Mutual Fund,15001,50000,0,T,,
D000000209,United Technologies,Defense Aerospace,,15001,50000,0,T,Y,
D000030157,Stryker Corp,Pharm/Health Prod,,15001,50000,0,T,,
"",Standard & Poors Midcap 400 Fund,Unknown,Mutual Fund,15001,50000,0,T,,
D000037598,Simon Property Group,Real Estate,,15001,50000,0,T,Y,
"",Putnam Investors Fund,Unknown,Mutual Fund,15001,50000,0,T,,
D000028430,Praxair Inc,Chemicals,,15001,50000,0,T,Y,
"",Nuveen Florida Quality Income Muni Fund,Unknown,Mutual Fund,15001,50000,0,T,,
"",Northern Trust Checking Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,T,,
"",Mid Cap Spdr Trust,Unknown,Mutual Fund,15001,50000,0,T,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,15001,50000,0,T,Y,
"",MFB Northern Funds Small Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,T,,
D000027296,Lowe's Companies,Retail Sales,,15001,50000,0,T,,
D000027185,Legg Mason,Securities/Invest,,15001,50000,0,T,,Y
"",Kislak National Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,T,,
D000000386,Johnson & Johnson,Pharm/Health Prod,,15001,50000,0,T,Y,Y
"",iShares S&P Small Cap 600 Index,Unknown,Mutual Fund,15001,50000,0,T,,
D000000720,IBM Corp,Electronics Mfg/Eqp,,15001,50000,0,T,Y,Y
"",Hillsborough County School Board,Unknown,Government Bond,15001,50000,0,T,,
D000000677,Hartford Financial Services,Insurance,,15001,50000,0,T,Y,
D000000125,General Electric,Misc Mfg/Distrib,,15001,50000,0,T,Y,Y
"","Gainesville, FL Utility Systems Rev Bond",Unknown,Government Bond,15001,50000,0,T,,
"",Florida Board of Educ Rev FSU Bond,Unknown,Government Bond,15001,50000,0,T,,
"",Florida Board of Educ Lottery Rev Bond,Unknown,Government Bond,15001,50000,0,T,,
"","De Soto County, MS School District Bond",Unknown,Government Bond,15001,50000,0,T,,
D000033033,Danaher Corp,Misc Mfg/Distrib,,15001,50000,0,T,Y,
"","Dade County, FL School Board Bond",Unknown,Government Bond,15001,50000,0,T,,
"",Broward County. FL School Board Bond,Unknown,Government Bond,15001,50000,0,T,,
"",Bankunited Financial Ins 2008 Term Trust,Unknown,"Brokerage, IRA, 401k",15001,50000,0,T,,
D000000391,Amgen Inc,Pharm/Health Prod,,15001,50000,0,T,Y,
D000021800,3M Co,Misc Mfg/Distrib,,15001,50000,0,T,Y,
D000019743,Wells Fargo,Commercial Banks,,1001,15000,0,T,Y,
D000000367,Wal-Mart Stores,Retail Sales,,1001,15000,0,T,Y,
"",US Senate Federal Credit Union/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",US Savings Bond,Unknown,Government Bond,1001,15000,0,T,,
D000029389,Teva Pharmaceutical Industries,Pharm/Health Prod,,1001,15000,0,T,Y,
D000000619,Target Corp,Retail Sales,,1001,15000,0,T,Y,
"",Streettracks Fortune 500 Index,Unknown,Mutual Fund,1001,15000,0,T,,
"",SAP AG,Electronics Mfg/Eqp,,1001,15000,0,T,,
D000000485,Procter & Gamble,Chemicals,,1001,15000,0,T,Y,
"",Ocean Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,T,,
"",Nokia Corp,Telecom Svcs,,1001,15000,0,T,,
D000027885,National Semiconductor Corp,Electronics Mfg/Eqp,,1001,15000,0,T,Y,
"",NASDAQ 100 Trust,Unknown,Mutual Fund,1001,15000,0,T,,
D000000108,Merrill Lynch,Securities/Invest,,1001,15000,0,T,Y,Y
D000000114,MBNA Corp,Finance/Credit,,1001,15000,0,T,Y,
D000000103,JPMorgan Chase & Co,Commercial Banks,,1001,15000,0,T,Y,
D000000171,International Paper,Forest Products,,1001,15000,0,T,Y,
