orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Farm Land/Butler County, IA",Crop Production,,700008,1700000,0,Y,,
"",SPTN 500 Index,,Mutual Fund,100001,250000,0,Y,,
"",Moderate Growth Aged Based 19 & Older Money Market,,Cash/Money Market/Savings/Checking,100002,200000,0,Y,,
"",Templeton Foreign Fund,,Mutual Fund,50001,100000,0,Y,,
"",Prudential Jennison Equity Income Fund,,Mutual Fund,50001,100000,0,Y,,
"",Opphmr MS Mid Cap Y,,Mutual Fund,50001,100000,0,Y,,
"",Oppenheimer International Bond,,Mutual Fund,50001,100000,0,Y,,
"",MainStay Epoch Global Equity Yield Fund,,Mutual Fund,50001,100000,0,Y,,
"",Lazard Emerging Markets Equity Fund,,Mutual Fund,50001,100000,0,Y,,
"",Franklin Income Fund,,Mutual Fund,50001,100000,0,Y,,
"",FA International Discovery Fund,,Mutual Fund,50001,100000,0,Y,,
"",Deutsche Global Real Estate Secs Fund,,Mutual Fund,30002,100000,0,Y,,
"",Black Rock Equity Dividend Fund,Unknown,,50001,100000,0,Y,,
"",Wells Fargo International Value Fund,,Mutual Fund,15001,50000,0,Y,,
"",Virtus Emerging Markets Opportunities Fund,,Mutual Fund,15001,50000,0,Y,,
"",Victory RS Small Cap Growth Fund,,Mutual Fund,15001,50000,0,Y,,
"",PRINX - T Rowe Price Summit Municipal Inc,,Mutual Fund,15001,50000,0,Y,,
"",Principal Small-MidCap Dividend Inc Fund,,Mutual Fund,15001,50000,0,Y,,
"",Principal Preferred Securities Fund,,Mutual Fund,15001,50000,0,Y,,
"",MFS Utilities Fund,Electric Utilities,,15001,50000,0,Y,,
"",MFS Research Fund,,Mutual Fund,15001,50000,0,Y,,
"",MFS International Growth I,,Mutual Fund,15001,50000,0,Y,,
"",JPMorgan US Small Cap Fund,,Mutual Fund,15001,50000,0,Y,,
"",JPMorgan US Large Cap Core Plus Fund,,Mutual Fund,15001,50000,0,Y,,
"",Jhancock Disciplined Value I,,Mutual Fund,15001,50000,0,Y,,
"",Geneva Advisors Equity Income Fund,,Mutual Fund,15001,50000,0,Y,,
"",Federated Strategic Value Dividend Institutional,,Mutual Fund,15001,50000,0,Y,,
"",FA Strat Income Fund,,Mutual Fund,15001,50000,0,Y,,
"",FA Emerging Market Inc,,Mutual Fund,15001,50000,0,Y,,
"",EQ/EQUITY 500 INDEX,,Mutual Fund,15001,50000,0,Y,,
"",Clarkston Partners Fund,,Mutual Fund,15001,50000,0,Y,,
"",Brown Advisory Growth Equity Inv Fund,,Mutual Fund,15001,50000,0,Y,,
"",AXA Mid Cap Value Managed Volatility Portfolio,,Mutual Fund,15001,50000,0,Y,,
"",ASTON/River Road Dividend All Cap Val Fund,,Mutual Fund,15001,50000,0,Y,,
"",AQR Managed Futures Strategy Fund,,Mutual Fund,15001,50000,0,Y,,
"",American Funds Intl Growth & Income Fund,,Mutual Fund,15001,50000,0,Y,,
"",American Funds EuroPacific Growth Fund,,Mutual Fund,15001,50000,0,Y,,
"",American Funds Capital Income Builder Fund,,Mutual Fund,15001,50000,0,Y,,
"",American Funds American Mutual,,Mutual Fund,15001,50000,0,Y,,
"",AllianceBern Muni Income National Adv,,Mutual Fund,15001,50000,0,Y,,
"",RAYMOND JAMES BANK DEPOSIT PROGRAM,,Cash/Money Market/Savings/Checking,3003,46000,0,Y,,
"",Ohio National Life InsurnceProvider: Ohio National,,Insurance policies & Annuities,2002,30000,0,Y,,
"",New York Life InsuranceProvider: New York Life Ins,,Insurance policies & Annuities,2002,30000,0,Y,,
"",Conservative Income Portfolio,,Mutual Fund,2002,30000,0,Y,,
D000032790,Community Bank & Trust,Commercial Banks,Cash/Money Market/Savings/Checking,2002,30000,0,Y,,
"",Transamerica Flexible Income Fund,,Mutual Fund,1001,15000,0,Y,,
"",Prudential Jennison Mid Cap Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",Property Sale-2 acre FarmsteadDebtor: Robin & Dian,Real Estate,,1001,15000,0,Y,,
"",Nuveen Premium Income Municipal,,,1001,15000,0,Y,,
"",JPMorgan Mid Cap Value Institutional,,Mutual Fund,1001,15000,0,Y,,
"",Invesco Charter,,Mutual Fund,1001,15000,0,Y,,
"",Farmer's Cooperative Co,Unknown,,1001,15000,0,Y,,
"",EQ/CORE BOND INDEX,,Mutual Fund,1001,15000,0,Y,,
"",Columbia Acorn International Fund,,Mutual Fund,1001,15000,0,Y,,
"",Blackrock Enhanced Equity Divid Trust,,,1001,15000,0,Y,,
"",AXA International VALUE VOLATILITY,,Mutual Fund,1001,15000,0,Y,,
"",ASTON/River Road Small Cap Value Fund,,Mutual Fund,1001,15000,0,Y,,
"",AMG TimesSquare Small Cap Growth Fund,,Mutual Fund,1001,15000,0,Y,,
"",Neuberger Berman Genesis Inv Fund,Unknown,,0,1000,0,Y,,
"",Manning & Napier Equity Series,,Mutual Fund,0,1000,0,Y,,
"",ClearBridge Equity Income Fund,Unknown,,0,1000,0,Y,,
