orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Streettracks Gold Trust ETF,Mining,Mutual Fund,15001,50000,0,Y,,
"",Powershares Commodity Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares Russell 2000 Growth Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Ishares Russell 1000 Value Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares EAFE Sector,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares 1000 Growth,Unknown,Mutual Fund,15001,50000,0,Y,,
D000037780,Starbucks Corp,Food & Beverage,,2002,30000,0,Y,Y,Y
D000000703,Costco Wholesale,Retail Sales,,2002,30000,0,Y,,Y
D000031225,Zumiez Inc,Retail Sales,,1001,15000,0,Y,,Y
"",Sun Power Corp,Electric Utilities,,1001,15000,0,Y,,
"",S&P Energy Sector,Misc Energy,,1001,15000,0,Y,,
"",iShares S&P Midcap 400,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares S&P 400 Value Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares Russell Micro Cap Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares Russell 2000 Value Index,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000495,DuPont Co,Chemicals,,1001,15000,0,Y,Y,
"",Dreyfus Liquid Assets Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Congressional Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000023883,Amazon.com,Internet,,1001,15000,0,Y,Y,Y
"",Advanced Micro Systems,Unknown,,1001,15000,0,Y,,
"",Frontier Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
