orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Riverside Bank,Commercial Banks,,2000002,6000001,0,Y,,
D000021573,Wachovia Corp,Commercial Banks,,1000001,5000000,0,Y,Y,
"",Williams Realty Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Stricklin Capital,Unknown,,250001,500000,0,Y,,
"",Smith Barney Appreciation Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Oppenheimer Active Allocation,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Main Street Bank,Commercial Banks,,250001,500000,0,Y,,
"",John Hancock Life Insurance Policy,Unknown,Insurance policies & Annuities,250001,500000,0,Y,,
"","House/Marietta, GA",Real Estate,,250001,500000,0,Y,,
"",Federated Georgia Muni Cash Trust,Unknown,Mutual Fund,250001,500000,0,Y,,
D000000090,Bank of America,Commercial Banks,,100001,251000,0,Y,Y,Y
"",Wintercreek LLC 200 apartments,Real Estate,,100001,250000,0,Y,,
D000031087,Williams-Sonoma Inc,Retail Sales,,100001,250000,0,Y,,
D000068479,Wellpoint Inc,Health Services,,100001,250000,0,Y,,
"",Wachovia Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
D000037780,Starbucks Corp,Food & Beverage,,100001,250000,0,Y,Y,
"",Riverside Money Market Account,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Permit LLC,Real Estate,,100001,250000,0,Y,,
"",Oppenheimer Port Ser Active Allocation,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Franklin Georgia Tax Free Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Cinnamon Ridge LLC,Real Estate,,100001,250000,0,Y,,
"",CareMark RX,Pharm/Health Prod,,100001,250000,0,Y,,
D000000391,Amgen Inc,Pharm/Health Prod,,100001,250000,0,Y,Y,Y
D000000217,American Express,Finance/Credit,,100001,250000,0,Y,Y,
"",41's LLC,Real Estate,,100001,250000,0,Y,,
"",Streettracks Gold Trust ETF,Mining,Mutual Fund,50001,100000,0,Y,,
"",Select Sector SPDR Energy Fund,Misc Energy,,50001,100000,0,Y,,
"","Sea Pines Timeshare/Hilton Head, SC",Real Estate,,50001,100000,0,Y,,
"",Liz Claiborne Inc,Misc Mfg/Distrib,,50001,100000,0,Y,,
"","Land 54 acres/Douglas County, GA",Real Estate,,50001,100000,0,Y,,
D000026672,Invitrogen Corp,Pharm/Health Prod,,50001,100000,0,Y,,
"",Integra Life Sciences,Unknown,,50001,100000,0,Y,,
D000000419,Home Depot,Retail Sales,,50001,100000,0,Y,Y,Y
D000068481,Genzyme Corp,Pharm/Health Prod,,50001,100000,0,Y,,
D000025831,Fiserv Inc,Electronics Mfg/Eqp,,50001,100000,0,Y,,
"",Evergreen Growth Mutual Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
D000033033,Danaher Corp,Misc Mfg/Distrib,,50001,100000,0,Y,Y,
"","Condo/Athens, GA",Real Estate,,50001,100000,0,Y,,
D000042615,Children's Place Retail Stores,Retail Sales,,50001,100000,0,Y,,
D000047781,Biomet Inc,Pharm/Health Prod,,50001,100000,0,Y,,
