orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Total Morgan Stanley Smith Barney IRA,Unknown,Mutual Fund,100001,250000,0,Y,,
D000019743,Wells Fargo,Commercial Banks,Unknown,50001,100000,0,Y,Y,
"",Fidelity Target Retirement Fund 2025,Unknown,Mutual Fund,50001,100000,0,A,,
"",Congressional FCU Account,Unknown,,50001,100000,0,Y,,
"",Wells Fargo SEP CD,Unknown,,15001,50000,0,Y,,
"",SunAmerica Adjustable Life Ins Pol,Unknown,Insurance policies & Annuities,15001,50000,0,A,,
"",JPMorgan Mid Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Fidelity Contrafund,Unknown,Mutual Fund,15001,50000,0,A,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,15001,50000,0,A,,
"",American Funds 2025 Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Wells Fargo IRA CD,Unknown,,1001,15000,0,Y,,
"",Transamerica High Yield Bond Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Nationwide International Index,Unknown,Mutual Fund,1001,15000,0,A,,
"",Hartford Life Insurance Co,Unknown,Insurance policies & Annuities,1001,15000,0,A,,
