orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","N2711 Buckholz Road/Ettrick, WI",Real Estate,,250001,500000,0,A,,
"","N2680 Buckholz Road/Ettrick, WI",Real Estate,,250001,500000,0,A,,
"",Wisconsin Deferred Compensation Fund,Unknown,Mutual Fund,50001,100000,0,A,,
"",Fidelity Aggressive Growth Fund,Unknown,Mutual Fund,30002,100000,0,A,,
"","219 Pearl Street/LaCrosse, WI",Real Estate,,50001,100000,0,A,,
"",Wisconsin Deferred Compensation Program,Unknown,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",15001,50000,0,A,,
"",Wells Fargo Bank account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,A,,
"",Oakmark Equity & Income Fund,Unknown,Mutual Fund,15001,50000,0,A,,
"",Janus Growth & Income Fund,Unknown,Mutual Fund,2002,30000,0,A,,
"",Mass Investors 6-8 Year Fund,Unknown,Mutual Fund,1002,16000,0,A,,
"",Janus Twenty Fund,Unknown,Mutual Fund,1002,16000,0,A,,
"",Putnam INU,Unknown,Mutual Fund,1001,15000,0,A,,
"",Oakmark Select Roth IRA,Unknown,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",Oakmark Select IRA,Unknown,"Brokerage, IRA, 401k",1001,15000,0,A,,
"",Janus Global Technology Fund,Unknown,Mutual Fund,1001,15000,0,A,,
"",Janus Mercury Education,Unknown,Mutual Fund,1,1000,0,A,,
